ID_MERGE,animal,group,LOG_SIVRNA_LN_WK24_POST_ATI,wk12_LN_CD3p_CD4_CD95pCD28nTEM,wk12_LN_CD3p_CD4p_notToxpIRF4p_MFI_BCL2,wk12_LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp,wk12_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2,wk12_LN_CD3p_CD8p_KI67p_UNS,wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG,wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS,wk12_LN_CD3p_CD8p_TCM_KI67p_UNS,wk12_LN_CD3p_CD8p_TEM_CD39p_GAG,wk12_LN_CD3p_CD8p_TOXpIRF4p_MFI_KI67,wk12_PBMC_CD3p_CD4p_TCM_IRF4pTCF1nTOXn,wk12_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2,wk12_PBMC_CD3p_CD8p_KI67p,wk12_PBMC_CD3p_CD8p_TCF1nCD101n_MFI_KI67,wk12_PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_BCL2,wk12_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBpTBETp_MFI_BCL2
aIL10+aPD1_RKq17,RKq17,aIL10+aPD1,1.523903428,0.51,1596,4.48,1745,6.16,5.39,7.37,13.7,14.8,155,3.91,1979,4.12,161,2457,2262
aIL10+aPD1_RYm17,RYm17,aIL10+aPD1,1.921188209,0.47,1717,5.57,1632,13.3,8.67,7.5,18.1,10.4,204,7.29,1492,2.83,111,1082,2524
aIL10+aPD1_RFl17,RFl17,aIL10+aPD1,2.044914011,0.53,1566,5.7,1869,5.49,5.99,6.37,6.71,7.2,118,4.27,2223,1.66,87.4,610,2894
Control_RVz16,RVz16,Control,2.05748666,0.92,2004,4,2067,6.02,5.5,6.02,7.84,5.53,140,3.94,3028,2.25,96.4,1758,2396
aIL10+aPD1_RNy16,RNy16,aIL10+aPD1,2.058080209,0.53,1964,4.94,2082,7.91,5.35,8.44,9.59,8.55,131,2.26,2905,3.29,107,NA,1863
aIL10+aPD1_RBf17,RBf17,aIL10+aPD1,2.192974089,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36,2457,2.52,123,2514,4334
aIL10_RYk17,RYk17,aIL10,2.694399707,0.78,2075,4.89,2048,7.22,3.48,5.5,8.78,8.4,133,2.38,2882,2.47,114,1867,3240
aIL10+aPD1_RWs17,RWs17,aIL10+aPD1,2.935686751,0.36,1626,3.17,1821,3.67,7.28,6.23,4.15,12.2,127,4.49,2702,2.4,78.4,2951,3286
aIL10+aPD1_RRh17,RRh17,aIL10+aPD1,3.103254104,0.96,1396,5.25,1918,6.86,17,23.8,10.4,7.05,147,4.15,1774,1.83,134,532,1991
aIL10+aPD1_RBv17,RBv17,aIL10+aPD1,3.375811793,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12,2275,3,143,1032,2963
Control_REq17,REq17,Control,4.051220007,0.48,1928,3.03,2011,4.71,7.24,5.98,6.31,9.87,96.4,1.66,2665,1.46,68.1,2292,3641
Control_RZg17,RZg17,Control,4.267463613,1.64,2136,2.2,2140,4.33,2.32,2.4,4.59,7.92,103,1.74,2987,1.85,91.2,4791,3739
aIL10_RVc17,RVc17,aIL10,4.487062777,1.02,1982,3.86,1859,4.06,4.58,4.7,4.7,11.6,114,1.75,3234,1.41,88.7,3393,4290
aIL10_RHm17,RHm17,aIL10,4.977098631,0.85,2358,6.82,2367,5.99,5.91,6.33,8.11,8.7,123,4.42,2539,1.32,84.8,2810,3070
aIL10_RZp17,RZp17,aIL10,5.512343907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.03,2810,0.91,84.8,1811,2665
