ID_MERGE,animal,group,LOG_SIVRNA_LN_WK24_POST_ATI,wk21_LN_CD3p_CD4_CD95pCD28nTEM,wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101,wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TCF1,wk21_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXp,wk21_LN_CD3p_CD4p_TOXpIRF4p_MFI_CD101,wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67,wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_CD101,wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_ID2,wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_IRF4,wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_BCL2,wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_KI67,wk21_LN_CD3p_CD8p_TCF1nCD101p_MFI_ID2,wk21_LN_CD3p_CD8p_TCF1nCD101p_MFI_IRF4,wk21_LN_CD3p_CD8p_TCFn_TBEThi_CX3CR1pGRZBp_MFI_ID2,wk21_PBMC_CD3p_CD4p_TEM_TOXpIRF4p_MFI_CX3CR1,wk21_PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67,wk21_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn
aIL10+aPD1_RKq17,RKq17,aIL10+aPD1,1.523903428,0.27,945,6616,14.2,448,60.4,2189,673,549,1581,240,658,525,317,-31.8,467,85
aIL10+aPD1_RYm17,RYm17,aIL10+aPD1,1.921188209,0.37,1722,9197,16,1147,120,1860,347,273,1361,286,348,275,240,28.6,281,82
aIL10+aPD1_RFl17,RFl17,aIL10+aPD1,2.044914011,0.59,1920,9034,9.51,1503,57.8,2103,265,99,704,249,211,91.2,173,56.8,310,66.6
Control_RVz16,RVz16,Control,2.05748666,0.74,1484,9929,13.5,892,-19.3,1895,329,255,967,290,317,255,208,40.6,131,65.4
aIL10+aPD1_RNy16,RNy16,aIL10+aPD1,2.058080209,0.56,2377,6253,7.43,2080,60.4,3352,318,133,2691,107,298,133,183,47.8,339,72.6
aIL10+aPD1_RBf17,RBf17,aIL10+aPD1,2.192974089,0.83,1942,7714,5.61,1764,79.6,2728,461,252,1608,112,410,255,244,-40.6,407,65.6
aIL10_RYk17,RYk17,aIL10,2.694399707,0.55,1849,8973,12.2,1407,152,2614,360,190,883,278,309,157,191,51.9,262,40.9
aIL10+aPD1_RWs17,RWs17,aIL10+aPD1,2.935686751,0.24,2060,5912,6.75,1670,62.9,2214,298,194,1265,185,278,202,377,60.1,103,59.7
aIL10+aPD1_RRh17,RRh17,aIL10+aPD1,3.103254104,0.93,1315,8562,12,986,78.4,2319,409,225,1101,144,343,191,248,24.8,295,67.9
aIL10+aPD1_RBv17,RBv17,aIL10+aPD1,3.375811793,0.45,2144,8135,9.32,1751,57.8,3227,663,340,996,207,383,246,215,87.8,237,49.1
Control_REq17,REq17,Control,4.051220007,0.7,1159,10179,20.4,681,133,1190,192,117,742,245,199,133,191,90.9,86.1,56.5
Control_RZg17,RZg17,Control,4.267463613,1.44,950,8467,9.93,600,135,1636,433,246,1260,263,333,228,255,11.9,99,59.6
aIL10_RVc17,RVc17,aIL10,4.487062777,0.56,417,8893,14.4,269,148,1218,304,217,1032,190,270,151,198,79.4,209,52.4
aIL10_RHm17,RHm17,aIL10,4.977098631,1.52,777,9996,11.4,594,131,1381,155,-1.28,620,321,129,-1.28,104,33.1,237,57.9
aIL10_RZp17,RZp17,aIL10,5.512343907,1.05,524,8973,9.69,431,56.5,1788,348,169,732,194,326,164,217,99.2,104,45.3
aIL10+aPD1_34918,34918,aIL10+aPD1,6.120032183,0.72,153,7957,12.2,112,91.2,1119,360,339,842,275,360,333,212,9.46,160,76.8
aIL10+aPD1_RIb17,RIb17,aIL10+aPD1,6.446221042,1.27,1939,10019,11.1,1541,143,1501,178,35.9,470,336,169,42.4,148,23.5,188,54.5
Control_RMl17,RMl17,Control,6.553046294,0.99,1994,10087,10.8,1588,136,1670,220,65.5,506,271,185,59.1,144,50.7,269,68.6
aIL10_RVm17,RVm17,aIL10,6.679972694,1.67,1440,9642,18.8,817,158,1856,345,153,851,200,289,146,186,84.8,186,42.1
Control_RBe17,RBe17,Control,6.736581168,0.97,1518,9280,17.2,1059,171,1459,226,104,589,344,191,108,146,121,222,70.2
Control_REu17,REu17,Control,6.799717843,0.85,1089,9951,15.9,950,80.9,1225,240,107,439,399,213,105,175,112,86.1,56.2
aIL10_RFn17,RFn17,aIL10,6.901875931,1.8,1561,9534,14.1,1042,140,1674,277,92.5,551,221,220,83.5,134,130,194,75.6
aIL10_34897,34897,aIL10,7.025983056,1.21,1150,10459,16.1,715,293,1121,242,46.2,570,417,234,55.2,191,70.8,233,28.5
aIL10_34930,34930,aIL10,7.228155107,1.93,668,8794,19.7,350,198,1195,216,97.7,622,423,212,112,191,107,134,39.9
Control_RVi17,RVi17,Control,7.314670931,2.21,769,12438,17.8,461,164,1667,234,147,847,437,221,161,177,297,105,55.5
aIL10_34920,34920,aIL10,7.508975669,1.11,990,7939,11.3,558,152,2140,314,224,934,168,291,224,229,NA,NA,NA
Control_RTd17,RTd17,Control,7.548153804,3.73,426,13114,18.3,240,186,1239,226,103,457,405,194,84.8,158,154,242,56.6
