ID_MERGE,animal,group,LOG_SIVRNA_LN_WK24_POST_ATI,wk36_LN_CD3p_CD4p_KI67p,wk36_LN_CD3p_CD4p_Naive_notToxpIRF4p_MFI_CD101,wk36_LN_CD3p_CD4p_TCF1p_GRZBp_MFI_GRZB,wk36_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_CD101,wk36_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101,wk36_LN_CD3p_CD4p_TEM,wk36_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn,wk36_LN_CD3p_CD4p_TEM_IRF4pTCF1pTOXn,wk36_LN_CD3p_CD4p_TEM_MFI_TCF1_GAG,wk36_LN_CD3p_CD4p_TEM_notToxpIRF4p_MFI_CD101,wk36_LN_CD3p_CD4p_TEM_TCF1n,wk36_LN_CD3p_CD4p_TEM_TCF1p,wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXn,wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXp,wk36_LN_CD3p_CD8p_IRF4nTCF1pTOXn,wk36_LN_CD3p_CD8p_KI67p,wk36_LN_CD3p_CD8p_MFI_TCF1_UNS,wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXn,wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXp,wk36_LN_CD3p_CD8p_Naive_notToxpIRF4p_MFI_CD101,wk36_LN_CD3p_CD8p_Naive_TCF1n,wk36_LN_CD3p_CD8p_Naive_TCF1p,wk36_LN_CD3p_CD8p_notToxpIRF4p_MFI_TCF1,wk36_LN_CD3p_CD8p_TCFn,wk36_LN_CD3p_CD8p_TCF1nCD101n,wk36_LN_CD3p_CD8p_TCF1p,wk36_LN_CD3p_CD8p_TCF1pCD101n,wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG,wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS,wk36_LN_CD3p_CD8p_TEM_IRF4nTCF1nTOXp,wk36_PBMC_CD3p_CD4p_KI67p_GAG_UNS,wk36_PBMC_CD3p_CD4p_Naive_KI67p_UNS,wk36_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_TBET,wk36_PBMC_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TBET,wk36_PBMC_CD3p_CD4p_TEM_ID2p_GAG,wk36_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn_MFI_BCL2,wk36_PBMC_CD3p_CD8p_TCF1pCD101p_MFI_BCL2,wk36_PBMC_CD3p_CD8p_TCM_notToxpIRF4p_MFI_TBET,wk36_PBMC_CD3p_CD8p_TCM_TOXpIRF4p_MFI_TBET
aIL10+aPD1_RKq17,RKq17,aIL10+aPD1,1.523903428,2.44,42.4,1076,229,886,0.14,28.8,7.36,2761,168,50,50,4.2,1.58,67,3.83,7939,2.38,0.74,44.9,3.35,96.6,7869,10.5,8.91,93.4,86.7,60.8,0.832876712,5.96,1.099750623,2.37,364,493,34.9,2619,2728,187,305
aIL10+aPD1_RYm17,RYm17,aIL10+aPD1,1.921188209,1.24,242,810,1134,3393,0.12,36.6,8.01,2888,468,55.3,44.7,23.4,7.98,41.2,3.54,6851,15.4,2.53,83.5,18.2,81.8,6432,39.4,30.9,67,46.9,73.3,0.958169935,15.3,1.073139975,2.61,325,348,42.6,2500,2665,149,160
aIL10+aPD1_RFl17,RFl17,aIL10+aPD1,2.044914011,0.75,131,873,431,2382,0.23,33,6.27,1686,242,52.4,47.6,14.6,5.03,53.1,1.99,9729,6.19,1.3,153,7.57,92.4,9406,25.1,19.1,78.8,60.2,67.9,1.030349014,12.3,0.898891967,2.03,359,403,43.5,2793,3077,190,179
Control_RVz16,RVz16,Control,2.05748666,1.82,139,1084,421,1791,0.14,28.8,6.47,2025,224,42.7,57.3,9.84,2.32,66.6,2.36,9555,5.42,0.84,136,6.35,93.6,9406,15.4,12.9,87.3,74.4,57.4,0.912559618,8.29,1.02852349,2.53,323,377,34.9,3089,3151,183,220
aIL10+aPD1_RNy16,RNy16,aIL10+aPD1,2.058080209,4.2,134,1297,305,1186,0.32,26.7,4.53,3058,125,57.1,42.9,17.7,10.3,46.1,5.01,8543,5.54,2.38,143,8.22,91.8,8153,33.9,27.7,69.9,56.1,74.7,0.96761658,19.3,0.9765625,1.22,233,239,47.2,2164,2013,74.4,87.3
aIL10+aPD1_RBf17,RBf17,aIL10+aPD1,2.192974089,2.85,0,742,65.5,287,0.27,28.4,7.16,1917,28.2,50,50,10.7,3.01,62.4,6.41,9996,3.72,0.98,8.98,4.8,95.2,9664,17.3,14.7,85.3,77.5,78.5,1.078296703,11,1.698602794,2.62,464,477,39.6,2992,2946,192,209
aIL10_RYk17,RYk17,aIL10,2.694399707,2.71,114,817,437,2466,0.19,29.5,6.31,2052,229,48,52,15.3,5.25,52.2,2.67,9406,8.07,1.65,102,10.1,89.9,9115,25.7,20.9,78,62.3,57.9,0.9264,14.2,0.530097087,3.25,357,418,19.7,2771,3040,179,276
aIL10+aPD1_RWs17,RWs17,aIL10+aPD1,2.935686751,4.02,151,1104,332,438,0.1,32.3,5.67,3739,136,46.7,53.3,16.3,4.93,56.3,7.08,10202,7.73,1.88,117,9.71,90.3,9513,29.5,24.6,77.6,63.4,76.8,1.044897959,11.7,0.7671875,2.54,483,563,68.5,3878,3641,223,267
aIL10+aPD1_RRh17,RRh17,aIL10+aPD1,3.103254104,2.65,120,988,344,1825,0.058,24.1,7.57,1942,293,44.1,55.9,7.66,3.29,56.5,5.61,10271,3.47,1.04,117,4.72,95.3,10179,16.5,12.8,87.6,71.8,68.2,1.132890365,7.8,0.936986301,1.87,264,352,38.7,2500,2583,134,128
aIL10+aPD1_RBv17,RBv17,aIL10+aPD1,3.375811793,1.34,62.9,868,291,1735,0.092,22.5,12.5,1764,146,42.9,57.1,6.57,2.25,66.7,1.88,10920,2.02,0.42,51.4,2.49,97.5,10821,12,9.12,90.1,81.2,72.5,1.0804769,8.34,0.805620609,2.77,332,339,72,2332,2377,156,151
