parameters	ref.group	term	estimate	std.error	statistic	p.value	p.value.adj	WkPost.TX
NA	NA	NA	NA	NA	NA	NA	NA	NA
LN_singlets	aIL10+aPD1	groupaIL10	-0.48000000000001675	0.5259198291248075	-0.9126866366662638	0.3704850251242293	0.7409700502484586	-1
LN_singlets	aIL10+aPD1	groupControl	-0.5049999999999987	0.5578222163019324	-0.9053063596998391	0.37430214769947323	0.7409700502484586	-1
LN_singlets_lymphs	aIL10+aPD1	groupaIL10	-2.179999999999998	3.7835056731253136	-0.5761852071439445	0.5698545228621117	0.5698545228621117	-1
LN_singlets_lymphs	aIL10+aPD1	groupControl	-8.282499999999999	4.013013777187022	-2.063910183185499	0.049998809504545355	0.09999761900909071	-1
LN_singlets_lymphs_live	aIL10+aPD1	groupaIL10	-8.329999999999998	3.6189916544858316	-2.301746120269372	0.03033545646136987	0.06067091292273974	-1
LN_singlets_lymphs_live	aIL10+aPD1	groupControl	-11.749999999999996	3.838520309916681	-3.061075375749423	0.00536508110511717	0.01609524331535151	-1
LN_singlets_lymphs_live_CD3p	aIL10+aPD1	groupaIL10	-3.800000000000007	4.201051455687413	-0.9045354573925869	0.374702350098296	1	-1
LN_singlets_lymphs_live_CD3p	aIL10+aPD1	groupControl	-3.3999999999999995	4.455887958645278	-0.7630353436969497	0.45287776991898165	1	-1
LN_singlets_lymphs_live_CD3p_CD4p_CD95nCD28n	aIL10+aPD1	groupaIL10	1.409999999999999	1.24559483184503	1.1319892825112678	0.26882280675822934	0.5376456135164587	-1
LN_singlets_lymphs_live_CD3p_CD4p_CD95nCD28n	aIL10+aPD1	groupControl	0.8997500000000006	1.321152828312807	0.6810340035747692	0.502368619942806	0.5376456135164587	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4n	aIL10+aPD1	groupaIL10	3.489999999999993	2.353118624698883	1.4831381483993784	0.151051788575115	0.18830815889613584	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4n	aIL10+aPD1	groupControl	4.350000000000002	2.495859204691414	1.7428867749524488	0.09415407944806792	0.18830815889613584	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4nTCF1nTOXn	aIL10+aPD1	groupaIL10	0.8030000000000007	0.8914302061855439	0.900799630109082	0.3766457317860715	0.6553306229160369	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4nTCF1nTOXn	aIL10+aPD1	groupControl	0.9447500000000008	0.9455045156224802	0.9992019968069823	0.32766531145801847	0.6553306229160369	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4nTCF1nTOXp	aIL10+aPD1	groupaIL10	0.05100000000000019	0.4398659732290758	0.11594440830602765	0.9086613048218537	1	-1
