animal	group	WkPost-TX	feature	value	name	tissue	timepoint	newname	parameter	unit
34897	aIL10	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	4.39	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
34897	aIL10	12	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	6.62	Wk0 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week 0 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
34897	aIL10	12	wk12_LN_CD3p_CD8p_KI67p_UNS	3.63	Wk0 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
34897	aIL10	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	4.71	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
34897	aIL10	12	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	5.35	Wk0 Post-ATI LN CD3p CD8p TCM KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM KI67p UNS	LN_CD3p_CD8p_TCM_KI67p_UNS	%
34897	aIL10	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	0.48	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
34897	aIL10	12	wk12_PBMC_CD3p_CD8p_KI67p	1.79	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
34918	aIL10+aPD1	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	0.61	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
34918	aIL10+aPD1	12	wk12_PBMC_CD3p_CD8p_KI67p	1.6	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
34920	aIL10	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	4.54	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
34920	aIL10	12	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	4.05	Wk0 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week 0 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
34920	aIL10	12	wk12_LN_CD3p_CD8p_KI67p_UNS	3.02	Wk0 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
34920	aIL10	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	4.07	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
34920	aIL10	12	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	3.48	Wk0 Post-ATI LN CD3p CD8p TCM KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM KI67p UNS	LN_CD3p_CD8p_TCM_KI67p_UNS	%
34920	aIL10	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	0.71	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
34920	aIL10	12	wk12_PBMC_CD3p_CD8p_KI67p	1.06	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
34930	aIL10	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	3.73	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
34930	aIL10	12	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	11.9	Wk0 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week 0 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
