var1	var2	cor	statistic	p	method	p.adj
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	-0.61	2856.3064538968	0.00243	Spearman	0.0164220967741935
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD8p_KI67p_UNS	-0.6	2831.2993927471	0.00324	Spearman	0.0176732051282051
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD8p_TOXpIRF4p_MFI_KI67	-0.57	2779.85484114303	0.00565	Spearman	0.0263038888888888
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	-0.5	2663.99999999999	0.0179	Spearman	0.0555562962962962
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	-0.5	2648.24770513133	0.0191	Spearman	0.0579920289855072
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	-0.47	2595.99999999999	0.0302	Spearman	0.0766100591715976
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD8p_TCM_SLAMF6p_UNS	-0.47	2602	0.0289	Spearman	0.0747475308641975
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_PBMC_CD3p_CD8p_KI67p	-0.47	4829.99999999999	0.0133	Spearman	0.0460553719008264
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp	-0.45	2560.4458887047	0.0376	Spearman	0.0870408839779005
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_IL4	-0.42	4637.99999999999	0.032	Spearman	0.077953488372093
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_MIP3b	-0.41	4609.99999999999	0.036	Spearman	0.0847415730337078
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_PBMC_CD3p_CD4p_TCM_IRF4pTCF1nTOXn	-0.4	4576.19845813412	0.0404	Spearman	0.0915005405405405
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_PBMC_CD3p_CD8p_TCF1nCD101n_MFI_KI67	-0.39	4566.37934763917	0.0421	Spearman	0.0928415789473684
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_PBMC_CD3p_CD4p_TCM_MFI_BCL2_GAG	0.41	1939.38785792893	0.0346	Spearman	0.0828422857142857
