animal	group	WkPost-TX	feature	value	name	tissue	timepoint	newname	parameter	unit
34897	aIL10	-1	wk-1_IL10	0.272938354162363	Wk-13 Post-ATI IL10	LN	Week -13 Post-ATI	 IL10	IL10	pg/ml
34897	aIL10	-1	wk-1_IL4	0.146319427648049	Wk-13 Post-ATI IL4	LN	Week -13 Post-ATI	 IL4	IL4	pg/ml
34897	aIL10	-1	wk-1_MIP3b	59.4245372289991	Wk-13 Post-ATI MIP3b	LN	Week -13 Post-ATI	 MIP3b	MIP3b	pg/ml
34897	aIL10	-1	wk-1_LN_CD3p_CD4p_TCM_IFNGp_GAG	0.59	Wk-13 Post-ATI LN CD3p CD4p TCM IFNGp GAG	LN	Week -13 Post-ATI	CD3p CD4p TCM IFNGp GAG	LN_CD3p_CD4p_TCM_IFNGp_GAG	%
34897	aIL10	-1	wk-1_LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	3195	Wk-13 Post-ATI LN CD3p CD4p TEM  TCF1 GAG	LN	Week -13 Post-ATI	CD3p CD4p TEM  TCF1 GAG	LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	MFI
34897	aIL10	-1	wk-1_LN_CD3p_CD4p_TNFAp_GAG	0.088	Wk-13 Post-ATI LN CD3p CD4p TNFAp GAG	LN	Week -13 Post-ATI	CD3p CD4p TNFAp GAG	LN_CD3p_CD4p_TNFAp_GAG	%
34897	aIL10	-1	wk-1_LN_CD3p_CD8p_TCM_GRZBp_GAG	4.4	Wk-13 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week -13 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
34897	aIL10	-1	wk-1_LN_CD3p_CD8p_TCM_IFNGp_GAG	0.83	Wk-13 Post-ATI LN CD3p CD8p TCM IFNGp GAG	LN	Week -13 Post-ATI	CD3p CD8p TCM IFNGp GAG	LN_CD3p_CD8p_TCM_IFNGp_GAG	%
34897	aIL10	-1	wk-1_LN_CD3p_CD8p_TEM_CD39p_GAG	15.7	Wk-13 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week -13 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
34897	aIL10	-1	wk-1_LN_CD3p_CD8p_TEM_CX3CR1p_GAG	51.8	Wk-13 Post-ATI LN CD3p CD8p TEM CX3CR1p GAG	LN	Week -13 Post-ATI	CD3p CD8p TEM CX3CR1p GAG	LN_CD3p_CD8p_TEM_CX3CR1p_GAG	%
34897	aIL10	-1	wk-1_LN_CD3p_CD4p_MFI_BCL2_UNS	2219	Wk-13 Post-ATI LN CD3p CD4p  BCL2 UNS	LN	Week -13 Post-ATI	CD3p CD4p  BCL2 UNS	LN_CD3p_CD4p_MFI_BCL2_UNS	MFI
34897	aIL10	-1	wk-1_LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	2410	Wk-13 Post-ATI LN CD3p CD4p TCM  BCL2 UNS	LN	Week -13 Post-ATI	CD3p CD4p TCM  BCL2 UNS	LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	MFI
34897	aIL10	-1	wk-1_LN_CD3p_CD8p_MFI_TCF1_UNS	10699	Wk-13 Post-ATI LN CD3p CD8p  TCF1 UNS	LN	Week -13 Post-ATI	CD3p CD8p  TCF1 UNS	LN_CD3p_CD8p_MFI_TCF1_UNS	MFI
34897	aIL10	-1	wk-1_LN_CD3p_CD8p_KI67p_UNS	3.57	Wk-13 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week -13 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
34897	aIL10	-1	wk-1_LN_CD3p_CD8p_TCM_GRZBp_UNS	3.42	Wk-13 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week -13 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
34897	aIL10	-1	wk-1_LN_CD3p_CD8p_TCM_KI67p_UNS	3.33	Wk-13 Post-ATI LN CD3p CD8p TCM KI67p UNS	LN	Week -13 Post-ATI	CD3p CD8p TCM KI67p UNS	LN_CD3p_CD8p_TCM_KI67p_UNS	%
34897	aIL10	-1	wk-1_LN_CD3p_CD8p_TCM_SLAMF6p_UNS	0.95	Wk-13 Post-ATI LN CD3p CD8p TCM SLAMF6p UNS	LN	Week -13 Post-ATI	CD3p CD8p TCM SLAMF6p UNS	LN_CD3p_CD8p_TCM_SLAMF6p_UNS	%
34897	aIL10	-1	wk-1_LN_CD3p_CD4p_IFNGp_GAG_UNS	1.3846153846153846	Wk-13 Post-ATI LN CD3p CD4p IFNGp GAG UNS	LN	Week -13 Post-ATI	CD3p CD4p IFNGp GAG UNS	LN_CD3p_CD4p_IFNGp_GAG_UNS	FC
