feature.group	feature
Activation/Differentiation	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS
Activation/Differentiation	wk12_LN_CD3p_CD8p_KI67p_UNS
Activation/Differentiation	wk12_LN_CD3p_CD8p_TOXpIRF4p_MFI_KI67
Activation/Differentiation	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS
Activation/Differentiation	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG
Activation/Differentiation	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG
Activation/Differentiation	wk12_LN_CD3p_CD8p_TCM_SLAMF6p_UNS
Activation/Differentiation	wk12_PBMC_CD3p_CD8p_KI67p
Activation/Differentiation	wk12_LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp
Activation/Differentiation	wk12_PBMC_CD3p_CD8p_TCF1nCD101n_MFI_KI67
Activation/Differentiation	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_CD101
Activation/Differentiation	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_ID2
Activation/Differentiation	wk21_LN_CD3p_CD8p_TCF1nCD101p_MFI_ID2
Activation/Differentiation	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_IRF4
Activation/Differentiation	wk21_LN_CD3p_CD8p_TCFn_TBEThi_CX3CR1pGRZBp_MFI_ID2
Activation/Differentiation	wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101
Activation/Differentiation	wk21_LN_CD3p_CD4p_TOXpIRF4p_MFI_CD101
Activation/Differentiation	wk21_PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67
Activation/Differentiation	wk36_LN_CD3p_CD4p_TEM_notToxpIRF4p_MFI_CD101
Activation/Differentiation	wk36_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_CD101
Activation/Differentiation	wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG
Activation/Differentiation	wk36_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_TBET
Activation/Differentiation	wk36_LN_CD3p_CD8p_CD25p
Activation/Differentiation	wk36_PBMC_CD3p_CD4p_Naive_KI67p_UNS
Activation/Differentiation	wk36_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn
Activation/Differentiation	wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXn
Activation/Differentiation	wk36_PBMC_CD3p_CD4p_CD39p_UNS
Activation/Differentiation	wk36_LN_CD3p_CD8p_Naive_TCF1n
Activation/Differentiation	wk36_PBMC_CD3p_CD4p_TCM_CD39p_GAG
Activation/Differentiation	wk36_PBMC_CD3p_CD8p_TCM_TOXpIRF4p_MFI_TBET
Activation/Differentiation	wk36_LN_CD3p_CD8p_TCF1nCD101n
Activation/Differentiation	wk36_LN_CD3p_CD8p_TCFn
Activation/Differentiation	wk36_LN_CD3p_CD4p_TEM
Activation/Differentiation	wk36_LN_CD3p_CD8p_TCF1n
Activation/Differentiation	wk36_LN_CD3p_CD4p_TEM_TCF1n
Activation/Differentiation	wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXp
Activation/Differentiation	wk36_PBMC_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TBET
Activation/Differentiation	wk36_PBMC_CD3p_CD8p_TCM_notToxpIRF4p_MFI_TBET
Activation/Differentiation	wk36_LN_CD3p_CD4p_KI67p
Activation/Differentiation	wk36_LN_CD3p_CD8p_KI67p
BCL2	wk12_PBMC_CD3p_CD4p_TCM_MFI_BCL2_GAG
BCL2	wk12_PBMC_CD3p_CD4p_TCM_MFI_BCL2_UNS
BCL2	wk12_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2
BCL2	wk12_LN_CD3p_CD4p_MFI_BCL2_UNS
BCL2	wk12_LN_CD3p_CD4p_notToxpIRF4p_MFI_BCL2
BCL2	wk12_LN_CD3p_CD4p_TCM_MFI_BCL2_UNS
BCL2	wk12_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2
BCL2	wk36_PBMC_CD3p_CD8p_TCF1pCD101p_MFI_BCL2
BCL2	wk36_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn_MFI_BCL2
Cytokines	wk12_IL4
Cytokines	wk12_MIP3b
Exhaustion	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_KI67
Exhaustion	wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TCF1
Exhaustion	wk21_PBMC_CD3p_CD4p_TEM_TOXpIRF4p_MFI_CX3CR1
Exhaustion	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67
SIV-specific	wk21_LN_CD3p_CD4p_TNFAp_GAG
SIV-specific	wk36_PBMC_CD3p_CD4p_TEM_ID2p_GAG
SIV-specific	wk36_PBMC_CD3p_CD4p_CD69p_GAG_UNS
SIV-specific	wk36_PBMC_CD3p_CD8p_Naive_TNFAp_GAG_UNS
SIV-specific	wk36_PBMC_CD3p_CD8p_TNFAp_GAG_UNS
SIV-specific	wk36_LN_CD3p_CD4p_TNFAp_GAG_UNS
SIV-specific	wk36_LN_CD3p_CD8p_IFNGp_GAG_UNS
SIV-specific	wk36_LN_CD3p_CD8p_TCM_IFNGp_GAG
SIV-specific	wk36_LN_CD3p_CD4p_TCM_IFNGp_GAG
SIV-specific	wk36_PBMC_CD3p_CD8p_IFNGp_GAG_UNS
SIV-specific	wk36_PBMC_CD3p_CD4p_KI67p_GAG_UNS
SIV-specific	wk36_PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS
SIV-specific	wk36_LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS
SIV-specific	wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS
SIV-specific	wk36_PBMC_CD3p_CD4p_Naive_TNFAp_GAG
SIV-specific	wk36_LN_CD3p_CD4p_IFNGp_GAG_UNS
SIV-specific	wk36_LN_CD3p_CD8p_CX3CR1p_GAG_UNS
SIV-specific	wk36_LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS
SIV-specific	wk36_PBMC_CD3p_CD4p_CD39p_GAG_UNS
SIV-specific	wk36_PBMC_CD3p_CD8p_TBETp_GAG_UNS
SIV-specific	wk36_LN_CD3p_CD4p_IL2p_GAG_UNS
Stemness	wk21_LN_CD3p_CD8p_Naive
Stemness	wk36_LN_CD3p_CD4p_TEM_TCF1p
Stemness	wk36_LN_CD3p_CD4p_TCF1p_GRZBp_MFI_GRZB
Stemness	wk36_LN_CD3p_CD8p_TCF1p
Stemness	wk36_LN_CD3p_CD8p_TCF1pCD101n
Stemness	wk36_LN_CD3p_CD8p_Naive_TCF1p
Stemness	wk36_LN_CD3p_CD4p_TEM_MFI_TCF1_GAG
Stemness	wk36_LN_CD3p_CD8p_notToxpIRF4p_MFI_TCF1
Stemness	wk36_LN_CD3p_CD8p_MFI_TCF1_UNS
