group	animal	WkPost-TX	VL
aIL-10	34897	-64	2630634
aIL-10	34897	-63	8233689
aIL-10	34897	-61	841326
aIL-10	34897	-59	1148371
aIL-10	34897	-57	1312
aIL-10	34897	-53	540
aIL-10	34897	-49	65
aIL-10	34897	-45	65
aIL-10	34897	-41	15
aIL-10	34897	-37	25
aIL-10	34897	-33	15
aIL-10	34897	-29	15
aIL-10	34897	-26	15
aIL-10	34897	-22	15
aIL-10	34897	-18	15
aIL-10	34897	-14	15
aIL-10	34897	-4	15
aIL-10	34897	-1	15
aIL-10	34897	1	15
aIL-10	34897	5	15
aIL-10	34897	7	25
aIL-10	34897	9	15
aIL-10	34897	12	15
aIL-10	34897	13	15
aIL-10	34897	14	91000
aIL-10	34897	15	48000
aIL-10	34897	16	45000
aIL-10	34897	17	390000
aIL-10	34897	18	1200000
aIL-10	34897	19	490000
aIL-10	34897	20	1000000
aIL-10	34897	21	960000
aIL-10	34897	22	940000
aIL-10	34897	23	700000
aIL-10	34897	24	540000
aIL-10	34897	25	780000
aIL-10	34897	26	2200000
aIL-10	34897	28	6100000
aIL-10	34897	30	3500000
aIL-10	34897	32	5200000
aIL-10	34897	34	7000000
aIL-10	34897	36	4900000
aIL-10	34920	-64	319414
aIL-10	34920	-63	67400000
aIL-10	34920	-61	11395006
aIL-10	34920	-59	4679452
aIL-10	34920	-57	10521
aIL-10	34920	-53	4200
aIL-10	34920	-49	1900
aIL-10	34920	-46	900
aIL-10	34920	-42	540
aIL-10	34920	-38	290
aIL-10	34920	-34	250
aIL-10	34920	-30	360
aIL-10	34920	-26	65
aIL-10	34920	-22	25
aIL-10	34920	-18	180
aIL-10	34920	-14	15
aIL-10	34920	-1	65
aIL-10	34920	1	140
aIL-10	34920	5	40
aIL-10	34920	7	65
aIL-10	34920	9	40
aIL-10	34920	12	15
aIL-10	34920	13	580
aIL-10	34920	14	130000
aIL-10	34920	15	140000
aIL-10	34920	16	45000
aIL-10	34920	17	170000
aIL-10	34920	18	730000
aIL-10	34920	19	3000000
aIL-10	34920	20	45000
aIL-10	34920	21	11000000
aIL-10	34920	22	6600000
aIL-10	34920	23	8000000
aIL-10	34920	24	8200000
aIL-10	34920	25	10000000
aIL-10	34920	26	12000000
aIL-10	34920	28	19000000
aIL-10	34920	30	18000000
aIL-10	34920	32	23000000
aIL-10	34920	34	18000000
aIL-10	34920	36	1800000
aIL-10	34930	-64	214548
aIL-10	34930	-63	35000000
aIL-10	34930	-61	3463373
aIL-10	34930	-59	2357788
aIL-10	34930	-57	14253
aIL-10	34930	-53	3100
aIL-10	34930	-49	610
aIL-10	34930	-46	900
aIL-10	34930	-42	430
aIL-10	34930	-38	40
aIL-10	34930	-34	40
aIL-10	34930	-30	25
aIL-10	34930	-26	65
aIL-10	34930	-22	25
aIL-10	34930	-18	15
aIL-10	34930	-14	15
aIL-10	34930	-1	15
aIL-10	34930	1	15
aIL-10	34930	5	15
aIL-10	34930	7	15
aIL-10	34930	9	15
aIL-10	34930	12	15
aIL-10	34930	13	6200
aIL-10	34930	14	170000
aIL-10	34930	15	150000
aIL-10	34930	16	150000
aIL-10	34930	17	310000
aIL-10	34930	18	1000000
aIL-10	34930	19	1900000
aIL-10	34930	20	11000
aIL-10	34930	21	2400000
aIL-10	34930	22	44000
aIL-10	34930	23	6300000
aIL-10	34930	24	8600000
aIL-10	34930	25	6600000
aIL-10	34930	26	7800000
aIL-10	34930	28	14000000
aIL-10	34930	30	8100000
aIL-10	34930	32	7900000
aIL-10	34930	34	6400000
aIL-10	34930	36	3800000
aIL-10	RFn17	-64	539239
aIL-10	RFn17	-63	16591491
aIL-10	RFn17	-61	3136587
aIL-10	RFn17	-59	4113392
aIL-10	RFn17	-57	12804
aIL-10	RFn17	-53	970
aIL-10	RFn17	-49	250
aIL-10	RFn17	-45	40
aIL-10	RFn17	-41	15
aIL-10	RFn17	-37	15
aIL-10	RFn17	-33	40
aIL-10	RFn17	-29	15
aIL-10	RFn17	-26	15
aIL-10	RFn17	-22	40
aIL-10	RFn17	-18	15
aIL-10	RFn17	-14	15
aIL-10	RFn17	-4	15
aIL-10	RFn17	-1	15
aIL-10	RFn17	1	15
aIL-10	RFn17	5	15
aIL-10	RFn17	7	15
aIL-10	RFn17	9	15
aIL-10	RFn17	12	15
aIL-10	RFn17	13	40
aIL-10	RFn17	14	79000
aIL-10	RFn17	15	15000
aIL-10	RFn17	16	580
aIL-10	RFn17	17	19000
aIL-10	RFn17	18	42000
aIL-10	RFn17	19	2500
aIL-10	RFn17	20	7300
aIL-10	RFn17	21	9200
aIL-10	RFn17	22	13000
aIL-10	RFn17	23	25000
aIL-10	RFn17	24	18000
aIL-10	RFn17	25	19000
aIL-10	RFn17	26	59000
aIL-10	RFn17	28	140000
aIL-10	RFn17	30	160000
aIL-10	RFn17	32	390000
aIL-10	RFn17	34	490000
aIL-10	RFn17	36	530000
aIL-10	RHm17	-64	755184
aIL-10	RHm17	-63	9678030
aIL-10	RHm17	-61	6113121
aIL-10	RHm17	-59	9098752
aIL-10	RHm17	-57	13853
aIL-10	RHm17	-53	1000
aIL-10	RHm17	-49	290
aIL-10	RHm17	-45	72
aIL-10	RHm17	-41	25
aIL-10	RHm17	-37	40
aIL-10	RHm17	-33	15
aIL-10	RHm17	-29	40
aIL-10	RHm17	-26	15
aIL-10	RHm17	-22	15
