animal	group	A*01Status	year	WkPost-TX	WkPost-ATI	parameter	value
34897	aIL10	-	1	-1	-13	IL10	0.272938354162363
34897	aIL10	-	1	-1	-13	IL4	0.146319427648049
34897	aIL10	-	1	-1	-13	MIP3b	59.4245372289991
34897	aIL10	-	1	-1	-13	LN_CD3p_CD4p_TCM_IFNGp_GAG	0.59
34897	aIL10	-	1	-1	-13	LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	3195
34897	aIL10	-	1	-1	-13	LN_CD3p_CD4p_TNFAp_GAG	0.088
34897	aIL10	-	1	-1	-13	LN_CD3p_CD8p_TCM_GRZBp_GAG	4.4
34897	aIL10	-	1	-1	-13	LN_CD3p_CD8p_TCM_IFNGp_GAG	0.83
34897	aIL10	-	1	-1	-13	LN_CD3p_CD8p_TEM_CD39p_GAG	15.7
34897	aIL10	-	1	-1	-13	LN_CD3p_CD8p_TEM_CX3CR1p_GAG	51.8
34897	aIL10	-	1	-1	-13	LN_CD3p_CD4p_MFI_BCL2_UNS	2219
34897	aIL10	-	1	-1	-13	LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	2410
34897	aIL10	-	1	-1	-13	LN_CD3p_CD8p_MFI_TCF1_UNS	10699
34897	aIL10	-	1	-1	-13	LN_CD3p_CD8p_KI67p_UNS	3.57
34897	aIL10	-	1	-1	-13	LN_CD3p_CD8p_TCM_GRZBp_UNS	3.42
34897	aIL10	-	1	-1	-13	LN_CD3p_CD8p_TCM_KI67p_UNS	3.33
34897	aIL10	-	1	-1	-13	LN_CD3p_CD8p_TCM_SLAMF6p_UNS	0.95
34897	aIL10	-	1	-1	-13	LN_CD3p_CD4p_IFNGp_GAG_UNS	1.3846153846153846
34897	aIL10	-	1	-1	-13	LN_CD3p_CD4p_IL2p_GAG_UNS	1.3636363636363635
34897	aIL10	-	1	-1	-13	LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	1.7352941176470587
34897	aIL10	-	1	-1	-13	LN_CD3p_CD4p_TNFAp_GAG_UNS	1.0864197530864197
34897	aIL10	-	1	-1	-13	LN_CD3p_CD8p_CX3CR1p_GAG_UNS	1.108179419525066
34897	aIL10	-	1	-1	-13	LN_CD3p_CD8p_IFNGp_GAG_UNS	2.3142857142857145
34897	aIL10	-	1	-1	-13	LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	1.1432291666666667
34897	aIL10	-	1	-1	-13	LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	0.9592592592592593
34897	aIL10	-	1	-1	-13	LN_CD3p_CD4p_KI67p	1.86
34897	aIL10	-	1	-1	-13	LN_CD3p_CD4p_TEM	0.13
34897	aIL10	-	1	-1	-13	LN_CD3p_CD8p_CD25p	3.66
34897	aIL10	-	1	-1	-13	LN_CD3p_CD8p_KI67p	1.05
34897	aIL10	-	1	-1	-13	LN_CD3p_CD4_CD95pCD28nTEM	1.13
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD4p_Naive_TNFAp_GAG	0.04
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD4p_TCM_MFI_BCL2_GAG	2249
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD4p_TCM_CD39p_GAG	3.84
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD4p_TEM_ID2p_GAG	30.3
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD4p_CD39p_UNS	2.16
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD4p_Naive_KI67p_UNS	2.14
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD4p_TCM_MFI_BCL2_UNS	2644
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD8p_TCM_CD69p_UNS	2.08
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD4p_CD39p_GAG_UNS	1.111111111111111
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD4p_CD69p_GAG_UNS	1.0465116279069768
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD4p_KI67p_GAG_UNS	0.7438423645320198
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS	1.2417582417582416
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD8p_IFNGp_GAG_UNS	1.1627906976744187
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD8p_Naive_TNFAp_GAG_UNS	2.6296296296296293
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD8p_TBETp_GAG_UNS	1.108695652173913
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD8p_TNFAp_GAG_UNS	0.88
34897	aIL10	-	1	-1	-13	PBMC_CD3p_CD8p_KI67p	2.28
34897	aIL10	-	1	-1	-13	MSD_Cluster_1	-0.417879738220088
34897	aIL10	-	1	-1	-13	MSD_Cluster_2	-0.368522434771179
34897	aIL10	-	1	-1	-13	MSD_Cluster_3	-0.350343184369118
RFn17	aIL10	-	1	-1	-13	IL10	0.287328693576735
RFn17	aIL10	-	1	-1	-13	IL4	0.138240890454435
RFn17	aIL10	-	1	-1	-13	MIP3b	48.6891834234805
RFn17	aIL10	-	1	-1	-13	LN_CD3p_CD4p_TCM_IFNGp_GAG	1.19
RFn17	aIL10	-	1	-1	-13	LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	6866
RFn17	aIL10	-	1	-1	-13	LN_CD3p_CD4p_TNFAp_GAG	0.15
RFn17	aIL10	-	1	-1	-13	LN_CD3p_CD8p_TCM_GRZBp_GAG	4.82
RFn17	aIL10	-	1	-1	-13	LN_CD3p_CD8p_TCM_IFNGp_GAG	0.63
RFn17	aIL10	-	1	-1	-13	LN_CD3p_CD8p_TEM_CD39p_GAG	10
RFn17	aIL10	-	1	-1	-13	LN_CD3p_CD8p_TEM_CX3CR1p_GAG	45.7
RFn17	aIL10	-	1	-1	-13	LN_CD3p_CD4p_MFI_BCL2_UNS	2563
RFn17	aIL10	-	1	-1	-13	LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	2670
RFn17	aIL10	-	1	-1	-13	LN_CD3p_CD8p_MFI_TCF1_UNS	12669
RFn17	aIL10	-	1	-1	-13	LN_CD3p_CD8p_KI67p_UNS	4.41
RFn17	aIL10	-	1	-1	-13	LN_CD3p_CD8p_TCM_GRZBp_UNS	2.49
