ID_Merge	group	animal	A*01Status	year	WkPost-TX	WkPost-ATI	LOG_SIV/DNA_LN_per10^6correctedCD4Live	LOG_SIVRNA_LN_per10^6correctedCD4Live
aIL10_34897_12	aIL10	34897	-	1	12	0	3.1397807295936815	1.9444826721501687
aIL10+aPD1_34918_12	aIL10+aPD1	34918	-	2	12	0	3.467781228465519	2.811917104731845
aIL10_34920_12	aIL10	34920	-	2	12	0	3.1368764424282496	2.542369588990733
aIL10_34930_12	aIL10	34930	-	2	12	0	3.23260376844467	1.9932416686417915
Control_RBe17_12	Control	RBe17	-	1	12	0	1.3033729182858875	0.653494614780328
aIL10+aPD1_RBf17_12	aIL10+aPD1	RBf17	-	2	12	0	3.312124869999937	2.41452288171126
aIL10+aPD1_RBv17_12	aIL10+aPD1	RBv17	-	2	12	0	2.540082932135178	2.7898402851790016
Control_REq17_12	Control	REq17	-	2	12	0	2.7682517161602735	1.959071406798586
Control_REu17_12	Control	REu17	-	2	12	0	3.166121363971908	1.8680229718922658
aIL10+aPD1_RFl17_12	aIL10+aPD1	RFl17	+	1	12	0	2.6716431786250507	1.8764828505264943
aIL10_RFn17_12	aIL10	RFn17	-	1	12	0	3.260820997479733	2.2553778524614705
aIL10_RGr17_12	aIL10	RGr17	-	2	12	0	NA	NA
aIL10_RHm17_12	aIL10	RHm17	+	1	12	0	3.471857014727305	1.8539766009881886
aIL10+aPD1_RIb17_12	aIL10+aPD1	RIb17	-	1	12	0	3.236297790743645	1.8931594854844962
aIL10+aPD1_RKq17_12	aIL10+aPD1	RKq17	-	2	12	0	3.10219560946974	2.013525079898506
Control_RMl17_12	Control	RMl17	-	1	12	0	3.2416912082211953	1.7486462241458396
aIL10+aPD1_RNy16_12	aIL10+aPD1	RNy16	+	1	12	0	3.3209659187358223	1.561761050720963
aIL10+aPD1_RRh17_12	aIL10+aPD1	RRh17	-	1	12	0	3.3190570120781877	1.761182068042088
Control_RTd17_12	Control	RTd17	+	1	12	0	2.275606525718643	1.7771047571498062
aIL10_RVc17_12	aIL10	RVc17	-	2	12	0	3.586212104232087	2.448809343148809
Control_RVi17_12	Control	RVi17	+	2	12	0	NA	NA
aIL10_RVm17_12	aIL10	RVm17	-	1	12	0	2.6339416292039166	2.143332008362404
Control_RVz16_12	Control	RVz16	+	1	12	0	2.913104617178935	2.26184901780142
aIL10+aPD1_RWs17_12	aIL10+aPD1	RWs17	-	2	12	0	3.3473300153169503	2.4894367770622643
aIL10_RYk17_12	aIL10	RYk17	+	1	12	0	3.1548270751710215	1.1015913315346222
aIL10+aPD1_RYm17_12	aIL10+aPD1	RYm17	+	1	12	0	2.635109516303257	1.5151341992265068
Control_RZg17_12	Control	RZg17	-	2	12	0	3.288174674978394	2.4903961993564554
aIL10_RZp17_12	aIL10	RZp17	-	2	12	0	NA	NA
aIL10_34897_36	aIL10	34897	-	1	36	24	4.506372769785346	7.025983055748699
aIL10_34920_36	aIL10	34920	-	2	36	24	3.488227814642208	7.508975669003557
aIL10_34930_36	aIL10	34930	-	2	36	24	4.348566389959622	7.2281551071625705
aIL10_RFn17_36	aIL10	RFn17	-	1	36	24	4.052801789365283	6.901875931119132
aIL10_RGr17_36	aIL10	RGr17	-	2	36	24	NA	NA
aIL10_RHm17_36	aIL10	RHm17	+	1	36	24	2.575831160184259	4.977098631110044
aIL10_RVc17_36	aIL10	RVc17	-	2	36	24	2.8257282977102762	4.4870627774471465
aIL10_RVm17_36	aIL10	RVm17	-	1	36	24	3.877371345869774	6.679972694277419
aIL10_RYk17_36	aIL10	RYk17	+	1	36	24	2.1517319131962367	2.694399707295173
aIL10_RZp17_36	aIL10	RZp17	-	2	36	24	3.3926666370764904	5.512343906601994
aIL10+aPD1_34918_36	aIL10+aPD1	34918	-	2	36	24	3.905146634001534	6.120032182993323
aIL10+aPD1_RBf17_36	aIL10+aPD1	RBf17	-	2	36	24	2.581017388588385	2.1929740890887364
aIL10+aPD1_RBv17_36	aIL10+aPD1	RBv17	-	2	36	24	1.6700884614228635	3.375811792597409
aIL10+aPD1_RFl17_36	aIL10+aPD1	RFl17	+	1	36	24	3.121113762825267	2.044914011059749
aIL10+aPD1_RIb17_36	aIL10+aPD1	RIb17	-	1	36	24	4.220085533731831	6.446221041805291
aIL10+aPD1_RKq17_36	aIL10+aPD1	RKq17	-	2	36	24	2.8775617881225877	1.5239034279780361
aIL10+aPD1_RNy16_36	aIL10+aPD1	RNy16	+	1	36	24	1.4757066134626609	2.0580802092444075
aIL10+aPD1_RRh17_36	aIL10+aPD1	RRh17	-	1	36	24	1.9106188760321996	3.10325410446575
aIL10+aPD1_RWs17_36	aIL10+aPD1	RWs17	-	2	36	24	1.5673238837207324	2.9356867514782716
aIL10+aPD1_RYm17_36	aIL10+aPD1	RYm17	+	1	36	24	2.5514846044896395	1.9211882090847399
Control_RBe17_36	Control	RBe17	-	1	36	24	4.217396780243337	6.736581168118351
Control_REq17_36	Control	REq17	-	2	36	24	2.7592715303060187	4.051220006633968
Control_REu17_36	Control	REu17	-	2	36	24	3.764161052982614	6.799717842870519
Control_RMl17_36	Control	RMl17	-	1	36	24	3.9163433425434944	6.553046294458729
Control_RTd17_36	Control	RTd17	+	1	36	24	3.120177948062936	7.5481538040558664
Control_RVi17_36	Control	RVi17	+	2	36	24	3.3995371007652144	7.314670930752972
Control_RVz16_36	Control	RVz16	+	1	36	24	2.1846631389390243	2.0574866595653614
Control_RZg17_36	Control	RZg17	-	2	36	24	2.284739291215867	4.267463612601045
