animal	group	wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_15_Exhaustion_CD4p_LN_UNS	wk12_IL4	wk12_LN_CD3p_CD4_CD95pCD28nTEM	wk12_LN_CD3p_CD4p_MFI_BCL2_UNS	wk12_LN_CD3p_CD4p_notToxpIRF4p_MFI_BCL2	wk12_LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp	wk12_LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	wk12_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	wk12_LN_CD3p_CD8p_KI67p_UNS	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	wk12_LN_CD3p_CD8p_TCM_SLAMF6p_UNS	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	wk12_LN_CD3p_CD8p_TOXpIRF4p_MFI_KI67	wk12_MIP3b	wk12_PBMC_CD3p_CD4p_TCM_IRF4pTCF1nTOXn	wk12_PBMC_CD3p_CD4p_TCM_MFI_BCL2_GAG	wk12_PBMC_CD3p_CD4p_TCM_MFI_BCL2_UNS	wk12_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	wk12_PBMC_CD3p_CD8p_KI67p	wk12_PBMC_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q1GRZBnTBETp_MFI_BCL2	wk12_PBMC_CD3p_CD8p_Q2TCF1pCD101p_Q2GRZBpTBETp_MFI_BCL2	wk12_PBMC_CD3p_CD8p_Q4TCF1nCD101n_Exhausted_Intermed_MFI_KI67	wk21_LN_CD3p_CD4_CD95pCD28nTEM	wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101	wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CX3CR1	wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TCF1	wk21_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXp	wk21_LN_CD3p_CD4p_TNFAp_GAG	wk21_LN_CD3p_CD4p_TOXpIRF4p_MFI_CD101	wk21_LN_CD3p_CD8p_Naive	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_MFI_CX3CR1	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_MFI_ID2	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_MFI_IRF4	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q1GRZBnTBETp_MFI_CD101	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q1GRZBnTBETp_MFI_ID2	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q1GRZBnTBETp_MFI_IRF4	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q2GRZBpTBETp_MFI_BCL2	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q2GRZBpTBETp_MFI_KI67	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q4GRZBnTBETn_MFI_KI67	wk21_LN_CD3p_CD8p_TCFn_TBEThi_CX3CR1pGRZBp_Cytolytic_Transitory_MFI_ID2	wk21_PBMC_CD3p_CD4p_TEM_TOXpIRF4p_MFI_CX3CR1	wk21_PBMC_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q4GRZBnTBETn_MFI_KI67	wk21_PBMC_CD3p_CD8p_Q2TCF1pCD101p_Q4GRZBnTBETn	wk21_PBMC_CD3p_CD8p_TCM_notToxpIRF4p_MFI_CD101	wk36_7_Exhaustion_CD8p_PBMC_GAG	wk36_LN_CD3p_CD4p_IFNGp_GAG_UNS	wk36_LN_CD3p_CD4p_IL2p_GAG_UNS	wk36_LN_CD3p_CD4p_KI67p	wk36_LN_CD3p_CD4p_Naive_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TCF1p_GRZBp_MFI_GRZB	wk36_LN_CD3p_CD4p_TCM_IFNGp_GAG	wk36_LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	wk36_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TEM	wk36_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn	wk36_LN_CD3p_CD4p_TEM_IRF4pTCF1pTOXn	wk36_LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	wk36_LN_CD3p_CD4p_TEM_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TEM_TCF1n	wk36_LN_CD3p_CD4p_TEM_TCF1p	wk36_LN_CD3p_CD4p_TNFAp_GAG_UNS	wk36_LN_CD3p_CD8p_CD25p	wk36_LN_CD3p_CD8p_CX3CR1p_GAG_UNS	wk36_LN_CD3p_CD8p_IFNGp_GAG_UNS	wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXn	wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXp	wk36_LN_CD3p_CD8p_IRF4nTCF1pTOXn	wk36_LN_CD3p_CD8p_KI67p	wk36_LN_CD3p_CD8p_MFI_TCF1_UNS	wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXn	wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXp	wk36_LN_CD3p_CD8p_Naive_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD8p_Naive_TCF1n	wk36_LN_CD3p_CD8p_Naive_TCF1p	wk36_LN_CD3p_CD8p_notToxpIRF4p_MFI_TCF1	wk36_LN_CD3p_CD8p_Q3TCF1pCD101n_StemLike	wk36_LN_CD3p_CD8p_Q4TCF1nCD101n_Exhausted_Intermed	wk36_LN_CD3p_CD8p_Q4TCF1nCD101n_Exhausted_Intermed_Q3GRZBpTBETn_MFI_IRF4	wk36_LN_CD3p_CD8p_TCF1n	wk36_LN_CD3p_CD8p_TCF1p	wk36_LN_CD3p_CD8p_TCFn	wk36_LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	wk36_LN_CD3p_CD8p_TCM_IFNGp_GAG	wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG	wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	wk36_LN_CD3p_CD8p_TEM_IRF4nTCF1nTOXp	wk36_PBMC_CD3p_CD4p_CD39p_GAG_UNS	wk36_PBMC_CD3p_CD4p_CD39p_UNS	wk36_PBMC_CD3p_CD4p_CD69p_GAG_UNS	wk36_PBMC_CD3p_CD4p_KI67p_GAG_UNS	wk36_PBMC_CD3p_CD4p_Naive_KI67p_UNS	wk36_PBMC_CD3p_CD4p_Naive_TNFAp_GAG	wk36_PBMC_CD3p_CD4p_TCM_CD39p_GAG	wk36_PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS	wk36_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD4p_TEM_ID2p_GAG	wk36_PBMC_CD3p_CD8p_IFNGp_GAG_UNS	wk36_PBMC_CD3p_CD8p_Naive_TNFAp_GAG_UNS	wk36_PBMC_CD3p_CD8p_Q2TCF1pCD101p_MFI_BCL2	wk36_PBMC_CD3p_CD8p_Q2TCF1pCD101p_Q4GRZBnTBETn_MFI_BCL2	wk36_PBMC_CD3p_CD8p_TBETp_GAG_UNS	wk36_PBMC_CD3p_CD8p_TCM_CD69p_UNS	wk36_PBMC_CD3p_CD8p_TCM_notToxpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD8p_TCM_TOXpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD8p_TNFAp_GAG_UNS
34897	aIL10	7.025983055748699	5.966277562	0.134145278072289	0.48	2017	2015	2.54	2262	2286	3.63	4.39	4.71	5.35	1.75	6.62	129	70.4317026796252	2.25	2103	2514	2509	1.79	NA	3138	82.2	1.21	1150	-247	10459	16.1	0.23	715	18.5	-27.3	234	55.2	1121	242	46.2	570	417	293	191	70.8	233	28.5	23.1	0.01584343	1.866666666666667	1.3571428571428572	7.71	-7.7	769	1.03	1.9807692307692308	65.5	335	0.62	39.5	4.24	1570	-8.98	67.4	32.6	1.764705882352941	13.3	0.9839285714285715	2.2242990654205603	29.8	12.9	29	11.7	6067	19.1	5.42	6.42	24.8	75.2	3448	39	42.9	-117	44.9	55.1	50	0.9923371647509578	2.77	60.9	0.9283536585365855	20	0.8312829525483304	5.69	0.8607594936708861	0.7650602409638555	3.47	0.036	7.73	1.0837004405286343	419	632	16.3	0.42805755395683454	0.7938144329896907	3366	2946	0.5866935483870968	3.86	265	418	0.5652173913043478
34920	aIL10	7.508975669003557	3.631647211	0.115157183225454	0.71	2364	2328	3.2	2332	2311	3.02	4.54	4.07	3.48	1.19	4.05	88.7	53.4411427484919	2.07	3126	3126	3138	1.06	945	3305	111	1.11	990	-179	7939	11.3	0.11	558	27.9	-18.8	291	224	2140	314	224	934	168	152	229	NA	NA	NA	NA	0.002795899	0.7	0.6923076923076923	11.9	-37.2	789	0.27	0.5625000000000001	43.6	232	0.83	57.2	3.03	1642	28.2	77.8	22.2	1.6176470588235292	18	0.6958174904942965	0.9216867469879518	45.5	13.4	22.4	19.3	2292	34.3	8.41	2.57	43.9	56.1	1781	24.1	50.9	-71.9	63.7	36.3	70	0.6464516129032258	1.83	62.5	0.7422802850356295	17.6	0.49301675977653625	7.16	0.8353413654618473	0.611764705882353	5.89	0.022	4.43	0.7687224669603525	572	753	35.9	0.7232142857142857	0	3132	3016	0.957703927492447	6.3	296	385	0.7407407407407407
34930	aIL10	7.2281551071625705	3.696498054	0.114582174572641	1.15	1670	1632	3.75	1942	1904	3.63	3.73	2.32	3.77	0.81	11.9	89.9	76.3038348929806	2.98	2739	2549	2558	0.76	2514	3777	57.8	1.93	668	-179	8794	19.7	0.09	350	15.9	-19.1	212	112	1195	216	97.7	622	423	198	191	107	134	39.9	-42.4	0.040074557	0.22	0.48447204968944096	8.79	-11.6	765	0.16	0.1509433962264151	-43.6	146	0.88	42.4	4.3	1515	5.13	71.7	28.3	1.1818181818181819	16.2	0.8119935170178282	0.6285714285714286	21.1	11.3	33.1	11.9	7397	9.92	3.98	-2.57	14.3	85.7	6146	47.5	32.2	-77.1	36.3	63.7	40.4	0.7741935483870969	1.79	58.2	0.8374100719424461	18.2	0.4350348027842228	8.62	1.0471204188481675	0.7105263157894737	4.53	0	7.81	1.0229357798165137	420	530	6.15	0.9820971867007672	NA	2534	2382	1.0742049469964663	6.86	278	396	1
RFn17	aIL10	6.901875931119132	4.539559014	0.116339216647089	1.73	1877	1865	3.41	2010	2026	3.99	3.97	3.92	4.6	1.23	5.32	117	51.7607520270294	3.46	2148	2534	2549	2.23	2337	2297	127	1.8	1561	-240	9534	14.1	0.27	1042	28.4	-27.3	220	83.5	1674	277	92.5	551	221	140	134	130	194	75.6	37.2	0.006523765	1.4	1.4166666666666667	6.15	20.5	824	0.53	1.606060606060606	104	398	0.44	51.4	2.66	1639	-1.28	74	26	1.3333333333333333	4.89	0.8407643312101911	1.1855670103092784	24.7	7.99	46.3	10.1	9197	11.2	2.92	28.2	14.3	85.7	7579	51.9	32.6	-114	34.4	65.6	39.6	0.8261802575107295	1.51	53.2	0.8184615384615385	15.5	0.5317919075144508	8.65	0.7071428571428572	0.6831683168316832	3.24	0	6.66	0.5	336	449	12.4	0.594855305466238	3.3333333333333335	3619	4202	0.8626373626373627	3.1	180	189	1.2258064516129032
RHm17	aIL10	4.977098631110044	3.891050584	0.11727392971112	0.85	2387	2358	6.82	2410	2367	5.99	5.91	6.33	8.11	2.08	8.7	123	57.3171616730374	4.42	2266	2609	2539	1.32	2810	3070	84.8	1.52	777	-248	9996	11.4	0.27	594	16	-52.3	129	-1.28	1381	155	-1.28	620	321	131	104	33.1	237	57.9	42.4	0.019571295	2.02158273381295	0.5842696629213483	6	83.5	851	5.03	2.2256637168141595	230	796	0.51	34	4.54	1567	129	64.5	35.5	0.84	7.05	1.1652173913043478	1.548895899053628	19.1	10.7	37.4	7.09	6645	9.41	3.31	61.6	12.9	87.1	6186	50.4	27.5	-59.1	34.3	65.7	40.6	1.1371841155234657	5.1	72.5	1.0041551246537397	20	1.0411899313501143	8.74	1.1818181818181819	1.0698757763975155	1.38	0	13	0.9684684684684683	320	444	29.5	1.5789473684210529	1.2142857142857144	2279	2410	0.6101083032490975	2.96	133	178	1.6
RVc17	aIL10	4.4870627774471465	4.539559014	0.14829433384953	1.02	1994	1982	3.86	1928	1859	4.06	4.58	4.7	4.7	0.8	11.6	114	56.1248684951555	1.75	3151	3208	3234	1.41	3393	4290	88.7	0.56	417	-193	8893	14.4	0.14	269	38.3	-11.7	270	151	1218	304	217	1032	190	148	198	79.4	209	52.4	-35.9	0.012115564	0.578125	0.6341463414634146	3.95	77.1	745	0.85	0.6692913385826771	170	519	0.11	37.2	4.83	1532	104	58.9	41.1	1.6049382716049383	7.12	0.9272445820433437	0.9058823529411765	23.8	7.42	46.4	5.58	7365	15.9	3.29	68.1	19.4	80.6	6896	58.6	29.1	-70.6	32.4	67.6	35.9	0.9153284671532848	1.26	76.6	0.8764302059496566	16.7	0.23705882352941177	17	0.984894259818731	0.657010428736964	2.58	0.11	5.59	0.8233276157804459	560	579	29	0.8689320388349513	1.0526315789473684	3894	4008	1.1325581395348838	7.82	240	251	1.0224719101123596
RVm17	aIL10	6.679972694277419	5.966277562	0.146544611863834	1.67	2095	2015	4.94	2400	2311	4.47	5.31	5.55	5.3	1.85	8.41	116	73.9611131613347	3.21	2364	3182	3246	1.39	3808	2815	97.7	1.67	1440	-232	9642	18.8	0.21	817	25.7	-40.5	289	146	1856	345	153	851	200	158	186	84.8	186	42.1	-14.1	0.013979497	0.8484848484848485	0.78125	4.59	11.6	775	1.25	0.8928571428571429	147	588	0.26	32.4	6.93	2244	18	52.1	47.9	1.2307692307692308	4.14	0.8812615955473099	0.9746835443037974	22.3	7.31	43.5	7.64	7834	19.6	4.34	-39.8	24.2	75.8	7237	56.1	32.1	-143	30.5	69.5	35.3	0.8642447418738051	1	56.7	0.8763523956723338	13.6	0.8438661710037174	8.07	0.8749999999999999	0.7531017369727047	4.15	0.087	7.3	0.8050314465408804	404	472	15.2	0.639751552795031	0.25	3761	4325	0.6686217008797654	5.96	257	299	0.4516129032258065
RYk17	aIL10	2.694399707295173	6.031128405	0.133207072372115	0.78	2123	2075	4.89	2087	2048	7.22	3.48	5.5	8.78	1.67	8.4	133	62.0901107259118	2.38	2181	2911	2882	2.47	1867	3240	114	0.55	1849	-214	8973	12.2	0.42	1407	45.2	-66.4	309	157	2614	360	190	883	278	152	191	51.9	262	40.9	18	0.035414725	0.5679012345679012	0.5217391304347826	2.71	114	817	1	0.6896551724137931	437	2466	0.19	29.5	6.31	2052	229	48	52	1.467741935483871	8.91	0.8752783964365256	1.2391304347826084	15.3	5.25	52.2	2.67	9406	8.07	1.65	102	10.1	89.9	9115	62.3	20.9	-108	22	78	25.7	0.9188596491228069	2.29	57.9	0.9264	14.2	1.0653753026634383	4.13	1.2038216560509554	0.5300970873786407	3.25	0.022	4.35	1.1541850220264318	357	418	19.7	0.9214953271028038	3.645833333333333	3040	2771	0.9182879377431907	6.66	179	276	1.0857142857142859
RGr17	aIL10	NA	NA	0.137589057290806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.4211973263384	5.66	1972	2198	2210	2.08	1781	3785	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RZp17	aIL10	5.512343906601994	NA	0.147106318322197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.3916071583425	3.03	2987	2793	2810	0.91	1811	2665	84.8	1.05	524	-196	8973	9.69	0.15	431	33.8	-41.2	326	164	1788	348	169	732	194	56.5	217	99.2	104	45.3	-37.2	0.040074557	1.6666666666666665	3.6	3.9	71.9	828	2.9	1.7575757575757576	187	477	0.25	31.5	6.16	1870	117	49.3	50.7	1.6	15.8	0.8425324675324675	4.309278350515464	12.1	4.67	58.1	7.4	8262	5.13	1.26	66.8	6.76	93.2	8081	68.7	18.9	-107	18.3	81.7	23.1	0.8575949367088608	4.87	65.9	0.9127423822714682	11.7	0.4862183020948181	9.07	0.8527918781725888	0.6416337285902504	2.45	0.071	3.28	0.6164021164021165	410	431	74.2	1.1382113821138211	0	2588	2619	1.0914760914760915	5.7	203	210	1.3095238095238098
