var1	var2	cor	statistic	p	method
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_IL10	-0.38	4522	0.0512	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_IL4	-0.42	4637.999999999999	0.032	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_MIP3b	-0.41	4609.999999999999	0.036	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	-0.47	2595.9999999999995	0.0302	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	-0.5	2648.247705131334	0.0191	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD4p_MFI_BCL2_UNS	0.46	962	0.0339	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	0.61	697.6969354550497	0.00279	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD8p_KI67p_UNS	-0.6	2831.2993927471084	0.00324	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	-0.5	2663.9999999999995	0.0179	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	-0.61	2856.3064538968047	0.00243	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD8p_TCM_SLAMF6p_UNS	-0.47	2602	0.0289	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD4_CD95pCD28nTEM	0.42	1498.9407797256954	0.0349	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_PBMC_CD3p_CD4p_TCM_MFI_BCL2_GAG	0.41	1939.387857928933	0.0346	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_PBMC_CD3p_CD4p_TCM_MFI_BCL2_UNS	0.42	1906	0.0309	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_PBMC_CD3p_CD8p_KI67p	-0.47	4829.999999999999	0.0133	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_MSD_Cluster_1	-0.049	3438	0.806	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_MSD_Cluster_2	-0.26	4132	0.187	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_MSD_Cluster_3	-0.38	4526	0.0504	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD4p_TNFAp_GAG	-0.4	4577.181377321054	0.0402	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD4_CD95pCD28nTEM	0.8	663.6012518105154	6.36e-7	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TCM_IFNGp_GAG	-0.49	4884	0.0101	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	-0.48	4838.238455081154	0.0119	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TCM_IFNGp_GAG	-0.5	4911.249599268685	0.00803	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG	-0.46	4792.231432716409	0.0151	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_MFI_TCF1_UNS	-0.42	4649.999999999999	0.0304	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_IFNGp_GAG_UNS	-0.43	4669.212655523718	0.027	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_IL2p_GAG_UNS	-0.39	4558	0.0444	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	-0.45	4736	0.0208	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TNFAp_GAG_UNS	-0.56	5094.277536067567	0.00266	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_CX3CR1p_GAG_UNS	-0.43	4672	0.0276	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_IFNGp_GAG_UNS	-0.56	5124	0.00257	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	-0.43	4672	0.0276	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	-0.45	4762	0.0184	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_KI67p	0.73	894.0000000000005	2.89e-5	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TEM	0.57	1409.5751392222137	0.00192	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_CD25p	0.41	1936	0.0351	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_KI67p	0.76	790.0000000000005	8.54e-6	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_Naive_TNFAp_GAG	-0.44	4732.670342010888	0.0201	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_TCM_CD39p_GAG	0.49	1660.753453933378	0.00897	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_TEM_ID2p_GAG	-0.66	5435.329593162747	1.85e-4	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_CD39p_UNS	0.48	1698	0.0118	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_Naive_KI67p_UNS	0.43	1881.787191816179	0.0269	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_TCM_CD69p_UNS	0.39	2002.0000000000002	0.0459	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_CD39p_GAG_UNS	-0.43	4673.999999999999	0.0274	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_CD69p_GAG_UNS	-0.63	5344	5.49e-4	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_KI67p_GAG_UNS	-0.48	4862	0.0113	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS	-0.46	4794	0.0158	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_IFNGp_GAG_UNS	-0.49	4870	0.0109	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_Naive_TNFAp_GAG_UNS	-0.63	4246.168758970835	6.81e-4	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_TBETp_GAG_UNS	-0.42	4645.999999999999	0.0309	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_TNFAp_GAG_UNS	-0.63	5326	6.31e-4	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD4p_notToxpIRF4p_MFI_BCL2	0.51	875.4942073628484	0.0164	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	0.64	639.3608363434431	0.00137	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp	-0.45	2560.4458887047067	0.0376	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_LN_CD3p_CD8p_TOXpIRF4p_MFI_KI67	-0.57	2779.8548411430347	0.00565	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	0.44	1836	0.0227	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_PBMC_CD3p_CD4p_TCM_IRF4pTCF1nTOXn	-0.4	4576.198458134123	0.0404	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBpTBETp_MFI_BCL2	0.48	1714.7616975789488	0.012	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_PBMC_CD3p_CD8p_TCF1nCD101n_MFI_KI67	-0.39	4566.379347639176	0.0421	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD8p_TCF1nCD101p_MFI_IRF4	-0.5	4906.497785933119	0.00825	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD8p_TCF1nCD101p_MFI_ID2	-0.52	4984	0.00591	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_IRF4	-0.52	4992	0.00565	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_ID2	-0.53	5022.533211189709	0.00419	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_CD101	-0.58	5188	0.00169	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_BCL2	-0.69	5537.999999999999	1.02e-4	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_KI67	0.45	1816	0.0208	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67	0.74	848.8884306404134	9.88e-6	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD8p_TCFn_TBEThi_CX3CR1pGRZBp_MFI_ID2	-0.47	4803.332875770996	0.0142	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TCF1	0.48	1699.7594076774014	0.0111	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101	-0.44	4724	0.0219	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXp	0.46	1780.7717731457585	0.0167	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD4p_TOXpIRF4p_MFI_CD101	-0.44	4720	0.0223	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD8p_Naive	-0.63	5351.316769714081	3.89e-4	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_PBMC_CD3p_CD4p_TEM_TOXpIRF4p_MFI_CX3CR1	0.66	988.0000000000001	3.2e-4	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67	-0.44	4198.435436988962	0.0262	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn	-0.43	4172	0.0309	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TCF1p_GRZBp_MFI_GRZB	-0.57	5145.999999999999	0.00223	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TCF1pCD101n	-0.51	4962.514887781128	0.006	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TCF1nCD101n	0.55	1483.7264330951166	0.00314	Spearman
