parameters	ref.group	term	estimate	std.error	statistic	p.value	p.value.adj	WkPost.TX
LN_CD3p_CD4p_Naive_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupaIL10	-16.770000000000046	15.697428872725803	-1.0683278220892485	0.29600099043808015	0.5920019808761603	-1
LN_CD3p_CD4p_Naive_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupControl	-15.545000000000009	16.649637604646873	-0.9336539550663514	0.35978141438587463	0.5920019808761603	-1
LN_CD3p_CD4p_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupaIL10	337.20000000000005	147.1592136655625	2.2913957719720406	0.0310177155633993	0.09305314669019792	-1
LN_CD3p_CD4p_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupControl	84.45	156.0859168454989	0.5410481721012187	0.5934613572640135	1	-1
LN_CD3p_CD4p_TCF1p_GRZBp_MFI_GRZB	aIL10+aPD1	groupaIL10	244.3	186.6884074021023	1.3085975899607405	0.20306413903338172	0.6091924171001452	-1
LN_CD3p_CD4p_TCF1p_GRZBp_MFI_GRZB	aIL10+aPD1	groupControl	108.975	198.0129582644151	0.5503427702669896	0.5871705802037916	1	-1
LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp	aIL10+aPD1	groupaIL10	-0.04299999999999988	0.5827801645887541	-0.0737842545316266	0.941793582988977	1	-1
LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp	aIL10+aPD1	groupControl	-0.35899999999999993	0.6181317094825803	-0.5807823712854144	0.5668014624367245	1	-1
LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupaIL10	423.3000000000003	157.43704268917878	2.688693796387572	0.01283486009548505	0.03850458028645517	-1
LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupControl	89.42500000000004	166.98720074321136	0.5355200853837625	0.5972183852692581	0.8792277180648813	-1
LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupaIL10	-25.500000000000146	54.90749824108943	-0.4644174441901179	0.6465341606761027	1	-1
LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupControl	26.675	58.23819651639413	0.45803272758439473	0.6510491046075202	1	-1
LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101	aIL10+aPD1	groupaIL10	-23.20000000000044	348.8021902833017	-0.06651334379854983	0.9475201234049404	1	-1
LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101	aIL10+aPD1	groupControl	-19.325000000000035	369.9605910630646	-0.05223529334427362	0.9587735609050873	1	-1
LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TCF1	aIL10+aPD1	groupaIL10	308.4999999999987	689.2764045972586	0.4475708118577684	0.6584766863031217	1	-1
LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TCF1	aIL10+aPD1	groupControl	29.67499999999998	731.0880297039058	0.04059018722002396	0.9679583911367212	1	-1
LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn	aIL10+aPD1	groupaIL10	2.8999999999999995	1.8588554946525573	1.5600997540381938	0.1318269348782727	0.39548080463481816	-1
LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn	aIL10+aPD1	groupControl	3.0625	1.9716139882720456	1.5532959383616591	0.1334411886925781	0.39548080463481816	-1
LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXp	aIL10+aPD1	groupaIL10	-0.35300000000000165	1.5338273498949342	-0.23014324266951025	0.8199308023731922	0.8199308023731922	-1
LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXp	aIL10+aPD1	groupControl	-1.9220000000000004	1.6268695804201485	-1.1814100055295351	0.24901477445632464	0.4980295489126493	-1
LN_CD3p_CD4p_TEM_IRF4pTCF1pTOXn	aIL10+aPD1	groupaIL10	-0.5140000000000028	0.7214619169568462	-0.712442317354843	0.48306030693970414	0.48306030693970414	-1
LN_CD3p_CD4p_TEM_IRF4pTCF1pTOXn	aIL10+aPD1	groupControl	-1.1515000000000006	0.7652259207720474	-1.5047843633396991	0.14542741189341457	0.29085482378682914	-1
LN_CD3p_CD4p_TEM_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupaIL10	-15.700000000000047	38.43557728447014	-0.40847571727103	0.6865461774435111	1	-1
LN_CD3p_CD4p_TEM_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupControl	4.475000000000007	40.76708600500268	0.10976992565646862	0.9135045573101476	1	-1
LN_CD3p_CD4p_TEM_TCF1n	aIL10+aPD1	groupaIL10	0.7899999999999968	3.44951212906571	0.2290178930937593	0.8207953637945532	1	-1
LN_CD3p_CD4p_TEM_TCF1n	aIL10+aPD1	groupControl	-0.8199999999999986	3.658760127371412	-0.22411963929133472	0.8245611821161188	1	-1
LN_CD3p_CD4p_TEM_TCF1p	aIL10+aPD1	groupaIL10	-0.7900000000000024	3.4495121290657074	-0.22901789309376108	0.8207953637945519	1	-1
LN_CD3p_CD4p_TEM_TCF1p	aIL10+aPD1	groupControl	0.8199999999999986	3.658760127371409	0.22411963929133488	0.8245611821161187	1	-1
LN_CD3p_CD4p_TOXpIRF4p_MFI_CD101	aIL10+aPD1	groupaIL10	-32.60000000000002	322.06931499401543	-0.101220446910957	0.920216356429994	1	-1
LN_CD3p_CD4p_TOXpIRF4p_MFI_CD101	aIL10+aPD1	groupControl	33.12500000000001	341.60609496656167	0.0969684103652848	0.9235567174270052	1	-1
LN_CD3p_CD8p_IRF4nTCF1nTOXn	aIL10+aPD1	groupaIL10	0.866	1.5127765262762318	0.5724573226500932	0.5723363899169482	1	-1
LN_CD3p_CD8p_IRF4nTCF1nTOXn	aIL10+aPD1	groupControl	1.009750000000001	1.604541810224629	0.6293073783216907	0.5350928713447234	1	-1
LN_CD3p_CD8p_IRF4nTCF1nTOXp	aIL10+aPD1	groupaIL10	0.5550000000000005	0.8734829127175439	0.6353873578056696	0.5311879047014625	1	-1
LN_CD3p_CD8p_IRF4nTCF1nTOXp	aIL10+aPD1	groupControl	-0.18449999999999972	0.9264685362497284	-0.1991432982137107	0.8438281681256068	1	-1
LN_CD3p_CD8p_IRF4nTCF1pTOXn	aIL10+aPD1	groupaIL10	-0.829999999999998	4.112775718069594	-0.20181017806377577	0.8417659366782815	1	-1
LN_CD3p_CD8p_IRF4nTCF1pTOXn	aIL10+aPD1	groupControl	1.0024999999999968	4.362257399619573	0.22981220688339568	0.8201850999212195	1	-1
LN_CD3p_CD8p_Naive	aIL10+aPD1	groupaIL10	-4.859999999999997	4.161735415264487	-1.16778207047339	0.25436551268046037	0.25436551268046037	-1
LN_CD3p_CD8p_Naive	aIL10+aPD1	groupControl	-7.864999999999998	4.414187000456596	-1.7817550545970202	0.08744854764162643	0.17489709528325287	-1
LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXn	aIL10+aPD1	groupaIL10	0.7800000000000002	1.201999742492644	0.6489186082373672	0.522552714609594	0.522552714609594	-1
LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXn	aIL10+aPD1	groupControl	1.8270000000000015	1.274913253351548	1.433038675531142	0.1647456869087056	0.4651682769509457	-1
LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXp	aIL10+aPD1	groupaIL10	0.4260000000000001	0.4808797741045648	0.8858763103381606	0.384474675336577	0.768949350673154	-1
LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXp	aIL10+aPD1	groupControl	0.31200000000000044	0.5100500238071892	0.6117047062778762	0.5464846781645014	0.768949350673154	-1
LN_CD3p_CD8p_Naive_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupaIL10	-12.750000000000012	17.659978032464906	-0.7219714529973523	0.4772880177382772	0.4772880177382772	-1
LN_CD3p_CD8p_Naive_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupControl	-23.522499999999997	18.73123533354209	-1.2557901057320109	0.22128055161698656	0.4425611032339731	-1
LN_CD3p_CD8p_Naive_TCF1n	aIL10+aPD1	groupaIL10	1.140999999999999	1.6291873750358463	0.7003491541142676	0.4904434849450012	0.4904434849450012	-1
LN_CD3p_CD8p_Naive_TCF1n	aIL10+aPD1	groupControl	2.103249999999999	1.7280141610670363	1.2171485902067245	0.2353811143838642	0.4707622287677284	-1
LN_CD3p_CD8p_Naive_TCF1p	aIL10+aPD1	groupaIL10	-1.1300000000000203	1.6297547653675046	-0.6933558496116493	0.4947423604667256	0.4947423604667256	-1
LN_CD3p_CD8p_Naive_TCF1p	aIL10+aPD1	groupControl	-2.1000000000000028	1.7286159693936796	-1.214844729646104	0.2362427219866136	0.4724854439732272	-1
LN_CD3p_CD8p_notToxpIRF4p_MFI_TCF1	aIL10+aPD1	groupaIL10	1.2999999999984335	435.0655995282289	0.00298805513791049	0.9976405792154032	0.9976405792154032	-1
LN_CD3p_CD8p_notToxpIRF4p_MFI_TCF1	aIL10+aPD1	groupControl	-529.1499999999999	461.4567535311021	-1.146694670629271	0.26281193962569954	0.5256238792513991	-1
LN_CD3p_CD8p_TCF1nCD101p_MFI_ID2	aIL10+aPD1	groupaIL10	-130.1000000000001	50.64116320459362	-2.569056312438709	0.01683955034170516	0.03367910068341032	-1
LN_CD3p_CD8p_TCF1nCD101p_MFI_ID2	aIL10+aPD1	groupControl	-95.925	53.713064863714216	-1.7858783564741618	0.08676181811215282	0.08676181811215282	-1
LN_CD3p_CD8p_TCF1nCD101p_MFI_IRF4	aIL10+aPD1	groupaIL10	-80.32000000000012	30.992372525540944	-2.5916054001289535	0.01600508807997626	0.03201017615995252	-1
LN_CD3p_CD8p_TCF1nCD101p_MFI_IRF4	aIL10+aPD1	groupControl	-76.59000000000003	32.87237516680447	-2.3299198677113835	0.02854719868027874	0.03201017615995252	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_CD101	aIL10+aPD1	groupaIL10	-511.1	198.55967204620188	-2.5740372893095564	0.01665180173685217	0.04995540521055651	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_CD101	aIL10+aPD1	groupControl	146.52499999999995	210.6043358610694	0.695735913512526	0.4932769036507366	0.9865538073014732	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_ID2	aIL10+aPD1	groupaIL10	-160.10000000000022	56.12902387738961	-2.8523567477269656	0.00878883669171997	0.02636651007515991	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_ID2	aIL10+aPD1	groupControl	-93.75000000000004	59.53382010762574	-1.574735164491679	0.12840908879204785	0.12840908879204785	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_IRF4	aIL10+aPD1	groupaIL10	-96.56000000000006	32.811124329439025	-2.9429043342280052	0.0071044772408295	0.014208954481659	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_IRF4	aIL10+aPD1	groupControl	-74.80499999999998	34.80145276755186	-2.149479232940142	0.04188957835281128	0.04188957835281128	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_BCL2	aIL10+aPD1	groupaIL10	-129.79999999999993	204.68407770675935	-0.6341480072815331	0.531982649049638	1	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_BCL2	aIL10+aPD1	groupControl	149.7	217.1002490210456	0.6895431980158077	0.4970950419357032	1	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_KI67	aIL10+aPD1	groupaIL10	-30.580000000000048	60.46809097524478	-0.5057212739280836	0.6176658386829543	1	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_KI67	aIL10+aPD1	groupControl	39.30000000000001	64.13609576100097	0.6127594692768473	0.5457984898209685	1	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67	aIL10+aPD1	groupaIL10	-26.387000000000008	34.63206620513574	-0.7619239303743004	0.45352843332519555	1	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67	aIL10+aPD1	groupControl	-28.0325	36.732853290229414	-0.7631451817399759	0.4528134970252221	1	-1
LN_CD3p_CD8p_TCF1pCD101n	aIL10+aPD1	groupaIL10	-1.9000000000000077	2.9508583799585213	-0.6438804426889219	0.5257589198897091	1	-1
LN_CD3p_CD8p_TCF1pCD101n	aIL10+aPD1	groupControl	-0.5275000000000024	3.1298579561847295	-0.16853799992988194	0.867572376719418	1	-1
LN_CD3p_CD8p_TCF1nCD101n	aIL10+aPD1	groupaIL10	1.2319999999999998	2.23682116597895	0.5507816265055826	0.5868743664948353	1	-1
LN_CD3p_CD8p_TCF1nCD101n	aIL10+aPD1	groupControl	0.9729999999999994	2.3725071221479728	0.4101146803382762	0.6853597929646983	1	-1
LN_CD3p_CD8p_TCF1n	aIL10+aPD1	groupaIL10	0.8740000000000028	2.3614320539109523	0.3701143967079226	0.7145434610713746	1	-1
LN_CD3p_CD8p_TCF1n	aIL10+aPD1	groupControl	0.18750000000000297	2.5046769279475662	0.0748599541553042	0.940946630292309	1	-1
LN_CD3p_CD8p_TCF1p	aIL10+aPD1	groupaIL10	-0.8800000000000048	2.3613476655543653	-0.3726685455245788	0.7126660757264431	1	-1
LN_CD3p_CD8p_TCF1p	aIL10+aPD1	groupControl	-0.18250000000000088	2.504587420578772	-0.07286629266780709	0.9425163961757708	1	-1
LN_CD3p_CD8p_TCFn	aIL10+aPD1	groupaIL10	1.0609999999999975	2.5895444401937	0.4097245768528437	0.6856420997087811	1	-1
LN_CD3p_CD8p_TCFn	aIL10+aPD1	groupControl	0.39475000000000016	2.74662665076733	0.14372175406137494	0.8869201601514759	1	-1
LN_CD3p_CD8p_TCFn_TBEThi_CX3CR1pGRZBp_MFI_ID2	aIL10+aPD1	groupaIL10	13.199999999999935	64.27218534890355	0.2053765548556242	0.839009952577524	0.839009952577524	-1
LN_CD3p_CD8p_TCFn_TBEThi_CX3CR1pGRZBp_MFI_ID2	aIL10+aPD1	groupControl	-57.40000000000004	68.17094715283253	-0.8420009167734595	0.4080998121147874	0.8161996242295748	-1
LN_CD3p_CD8p_TEM_IRF4nTCF1nTOXp	aIL10+aPD1	groupaIL10	0.19499999999999965	2.0871581563558763	0.09342847325976704	0.9263387564566024	1	-1
