parameters	ref.group	term	estimate	std.error	statistic	p.value	p.value.adj	WkPost.TX
NA	NA	NA	NA	NA	NA	NA	NA	NA
1_Exhaustion_CD8p_LN_GAG	aIL10+aPD1	groupaIL10	-0.14510278010000002	1.4551968557564599	-0.09971350578858333	0.921400027582971	1	-1
1_Exhaustion_CD8p_LN_GAG	aIL10+aPD1	groupControl	0.05139056892499906	1.5434693470001022	0.03329549046431154	0.973714314620938	1	-1
1_Exhaustion_CD8p_LN_UNS	aIL10+aPD1	groupaIL10	-0.35066505469999865	1.4563547234303735	-0.24078272213381088	0.8117685611744185	1	-1
1_Exhaustion_CD8p_LN_UNS	aIL10+aPD1	groupControl	0.8041112432499987	1.5446974511260139	0.5205622904756128	0.6074413371981341	1	-1
1_Exhaustion_CD8p_PBMC_GAG	aIL10+aPD1	groupaIL10	-0.03653308460000004	0.04673510633139125	-0.7817053916802866	0.4420316989278531	1	-1
1_Exhaustion_CD8p_PBMC_GAG	aIL10+aPD1	groupControl	-0.018406337025000007	0.04957006590960165	-0.37131959958590105	0.7136573665768048	1	-1
1_Exhaustion_CD8p_PBMC_UNS	aIL10+aPD1	groupaIL10	-0.041099720500000055	0.051800407672701644	-0.7934246533287275	0.43530503408434196	1	-1
1_Exhaustion_CD8p_PBMC_UNS	aIL10+aPD1	groupControl	-0.014958061574999999	0.05494262930039248	-0.27224873955737583	0.7877593070922804	1	-1
1_pSTAT_CD3n_LN	aIL10+aPD1	groupaIL10	-11.317733989100008	10.859472653168032	-1.0421992255580006	0.30770456219049325	0.6154091243809865	-1
1_pSTAT_CD3n_LN	aIL10+aPD1	groupControl	-8.422105910825003	11.518210129747473	-0.7311991894533748	0.4717367506682244	0.6154091243809865	-1
1_pSTAT_CD3n_PBMC	aIL10+aPD1	groupaIL10	-0.7938109650000004	0.4493462774428654	-1.7665907226769755	0.09001438148929153	0.18002876297858306	-1
1_pSTAT_CD3n_PBMC	aIL10+aPD1	groupControl	-0.5356542210999999	0.47660369982117273	-1.1238985792619396	0.2721724164519283	0.2721724164519283	-1
1_pSTAT_CD3p_LN	aIL10+aPD1	groupaIL10	0.010985992899999705	0.9732908091300919	0.01128747214804049	0.9910873971939506	0.9910873971939506	-1
1_pSTAT_CD3p_LN	aIL10+aPD1	groupControl	0.7738258715500005	1.0323307968036441	0.7495909973294995	0.46078615827860925	0.9215723165572185	-1
1_pSTAT_CD3p_PBMC	aIL10+aPD1	groupaIL10	0.7684365789000001	2.4601512015860822	0.31235339454118993	0.7574697327775931	1	-1
1_pSTAT_CD3p_PBMC	aIL10+aPD1	groupControl	-0.7437315619249997	2.6093843960786267	-0.28502184769813016	0.7780725512255956	1	-1
1_TFh_CD3n_LN	aIL10+aPD1	groupaIL10	-0.9652612040000008	0.4316669957591588	-2.2361246365440266	0.034903536533006506	0.10471060959901951	-1
1_TFh_CD3n_LN	aIL10+aPD1	groupControl	-0.9095730575500003	0.4578519898735886	-1.986609379596953	0.058497886652603734	0.11699577330520747	-1
1_TFh_CD3n_PBMC	aIL10+aPD1	groupaIL10	0.5127727021999996	0.9358553208946656	0.5479187762802861	0.5888080223924915	1	-1
1_TFh_CD3n_PBMC	aIL10+aPD1	groupControl	0.49785567794999996	0.9926244654211955	0.5015549135581171	0.6205505374193666	1	-1
1_TFh_CD4p_LN	aIL10+aPD1	groupaIL10	-0.2737520134000002	1.2352531538030822	-0.22161612181047738	0.8264875732253787	0.8264875732253787	-1
1_TFh_CD4p_LN	aIL10+aPD1	groupControl	-1.107085346525	1.310183822304343	-0.844984747695835	0.40646451123560035	0.8129290224712007	-1
1_TFh_CD8p_LN	aIL10+aPD1	groupaIL10	1.0857763310000017	1.3516782302927133	0.8032801791628108	0.42969702532667386	1	-1
1_TFh_CD8p_LN	aIL10+aPD1	groupControl	-1.338219326174999	1.4336712639333138	-0.9334213217774625	0.3598990277714442	1	-1
1_TFh_CD8p_PBMC	aIL10+aPD1	groupaIL10	1.9695817500000024	1.493470575858784	1.318795148587003	0.19968391908332556	0.5990517572499767	-1
1_TFh_CD8p_PBMC	aIL10+aPD1	groupControl	-1.8612167301999998	1.584064757538486	-1.1749625268427701	0.2515357339119398	0.5990517572499767	-1
10_Exhaustion_CD4p_LN_GAG	aIL10+aPD1	groupaIL10	-1.3164721138000002	0.8906801269686995	-1.4780526408290056	0.15239842653906424	0.20188852297711044	-1
10_Exhaustion_CD4p_LN_GAG	aIL10+aPD1	groupControl	-1.6115434499000003	0.9447089364714936	-1.7058623960086021	0.10094426148855522	0.20188852297711044	-1
10_Exhaustion_CD4p_LN_UNS	aIL10+aPD1	groupaIL10	0.24643320370000016	0.6004433119605443	0.4104187669196547	0.6851397665946015	1	-1
10_Exhaustion_CD4p_LN_UNS	aIL10+aPD1	groupControl	0.28047989635000004	0.6368663064081156	0.4404062415107	0.6635840890847856	1	-1
10_Exhaustion_CD4p_PBMC_GAG	aIL10+aPD1	groupaIL10	-0.10090817340000033	0.34045784284003544	-0.29638962803219127	0.769482241643007	1	-1
10_Exhaustion_CD4p_PBMC_GAG	aIL10+aPD1	groupControl	-0.06054490425000002	0.3611100740704993	-0.16766329326547638	0.8682529765988974	1	-1
10_Exhaustion_CD4p_PBMC_UNS	aIL10+aPD1	groupaIL10	0.18163471229999997	0.5085596876081684	0.35715515155016503	0.7240970545514113	1	-1
10_Exhaustion_CD4p_PBMC_UNS	aIL10+aPD1	groupControl	0.032795156674999985	0.5394090056187719	0.060798311361857406	0.9520233009940753	1	-1
10_Exhaustion_CD8p_LN_GAG	aIL10+aPD1	groupaIL10	-1.8258766623000036	4.070051211128862	-0.4486126998371555	0.6577353580390854	1	-1
10_Exhaustion_CD8p_LN_GAG	aIL10+aPD1	groupControl	-2.4909310735000005	4.316941216748607	-0.5770129701641146	0.5693041749511429	1	-1
10_Exhaustion_CD8p_LN_UNS	aIL10+aPD1	groupaIL10	-1.9709794428000038	3.1143858232244184	-0.632862963895523	0.5328073703495071	1	-1
10_Exhaustion_CD8p_LN_UNS	aIL10+aPD1	groupControl	-2.252116082600002	3.303305002249851	-0.6817766089011176	0.501907139613224	1	-1
10_Exhaustion_CD8p_PBMC_GAG	aIL10+aPD1	groupaIL10	2.795897999999982e-4	0.0014135616829973943	0.19779101496804904	0.8448742911486204	0.8539678946250933	-1
10_Exhaustion_CD8p_PBMC_GAG	aIL10+aPD1	groupControl	0.00121155625	0.0014993085775093892	0.808076648245823	0.42698394731254663	0.8539678946250933	-1
10_Exhaustion_CD8p_PBMC_UNS	aIL10+aPD1	groupaIL10	-6.523763000000035e-4	0.002924675624111052	-0.22305936925852818	0.8253768956950571	0.9198123251419221	-1
10_Exhaustion_CD8p_PBMC_UNS	aIL10+aPD1	groupControl	-0.0023299159499999994	0.003102086949869884	-0.7510801559246193	0.45990616257096106	0.9198123251419221	-1
10_pSTAT_CD3n_LN	aIL10+aPD1	groupaIL10	0.9421182267	1.471155245959292	0.6403934794017443	0.5279842151563134	1	-1
10_pSTAT_CD3n_LN	aIL10+aPD1	groupControl	0.45104679782500035	1.5603957758939677	0.2890592276607457	0.7750182490168811	1	-1
10_pSTAT_CD3n_PBMC	aIL10+aPD1	groupaIL10	0.3800874538999992	0.5607312788025218	0.6778424323174921	0.5043546857476431	1	-1
10_pSTAT_CD3n_PBMC	aIL10+aPD1	groupControl	0.3489741003249998	0.5947453344970015	0.5867622326455748	0.5628426465995602	1	-1
10_pSTAT_CD3p_LN	aIL10+aPD1	groupaIL10	-0.1235924195999997	0.719413180464646	-0.17179615686242405	0.8650381624730776	0.8650381624730776	-1
10_pSTAT_CD3p_LN	aIL10+aPD1	groupControl	-1.2627025541250005	0.7630529075722988	-1.6548034108701175	0.11098496872524717	0.3329549061757415	-1
