parameter	ref.group	term	estimate	std.error	statistic	p.value	p.value.adj	WkPost.TX
IL10	aIL10+aPD1	groupaIL10	-0.00520035816748232	0.01006740226729801	-0.5165541248286728	0.6101947840817343	1	-1
IL10	aIL10+aPD1	groupControl	0.0015522378629756791	0.01067809261820887	0.14536658544511197	0.885635420997511	1	-1
IL4	aIL10+aPD1	groupaIL10	0.009908866482872161	0.010987441956785395	0.9018356157734103	0.37610614927287855	1	-1
IL4	aIL10+aPD1	groupControl	-0.0015338767583900537	0.011653942073304814	-0.13161870453291846	0.8963830584740033	1	-1
LN_CD3p_CD4_CD95pCD28nTEM	aIL10+aPD1	groupaIL10	0.03199999999999968	0.2327717561822964	0.13747372329372606	0.8918032013305064	0.8918032013305064	-1
LN_CD3p_CD4_CD95pCD28nTEM	aIL10+aPD1	groupControl	0.30599999999999983	0.24689173089780522	1.2394096751934598	0.22717737326151405	0.6815321197845421	-1
LN_CD3p_CD4p_IFNGp_GAG_UNS	aIL10+aPD1	groupaIL10	-1.1504767292235447	0.9194408893469922	-1.2512786222077195	0.22289289386507893	0.44578578773015787	-1
LN_CD3p_CD4p_IFNGp_GAG_UNS	aIL10+aPD1	groupControl	-0.49105617365698895	0.9752143316361725	-0.5035366664814247	0.6191776360851321	0.6191776360851321	-1
LN_CD3p_CD4p_IL2p_GAG_UNS	aIL10+aPD1	groupaIL10	-2.1631279254224998	1.3480314073835444	-1.6046569193970142	0.12164919279998958	0.24329838559997916	-1
LN_CD3p_CD4p_IL2p_GAG_UNS	aIL10+aPD1	groupControl	-1.067908735421183	1.4298032241200247	-0.7468921019383136	0.4623835786023939	0.4623835786023939	-1
LN_CD3p_CD4p_KI67p	aIL10+aPD1	groupaIL10	-0.2730000000000002	0.48200446426504034	-0.5663847956600779	0.5763908770723769	1	-1
LN_CD3p_CD4p_KI67p	aIL10+aPD1	groupControl	0.16649999999999998	0.5112429378659985	0.32567687036420473	0.7474913374621739	1	-1
LN_CD3p_CD4p_MFI_BCL2_UNS	aIL10+aPD1	groupaIL10	345.5999999999996	147.53512091960306	2.342493081280144	0.027780721997741765	0.0833421659932253	-1
LN_CD3p_CD4p_MFI_BCL2_UNS	aIL10+aPD1	groupControl	63.900000000000006	156.48462669814293	0.4083468219741635	0.6866395148571518	1	-1
LN_CD3p_CD4p_Naive_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupaIL10	-16.769999999999982	15.6974288727258	-1.0683278220892447	0.2960009904380818	0.5920019808761636	-1
LN_CD3p_CD4p_Naive_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupControl	-15.545000000000007	16.649637604646877	-0.9336539550663513	0.35978141438587485	0.5920019808761636	-1
LN_CD3p_CD4p_TCF1p_GRZBp_MFI_GRZB	aIL10+aPD1	groupaIL10	244.2999999999999	186.6884074021023	1.3085975899607403	0.20306413903338177	0.6091924171001453	-1
LN_CD3p_CD4p_TCF1p_GRZBp_MFI_GRZB	aIL10+aPD1	groupControl	108.97500000000004	198.01295826441512	0.5503427702669897	0.5871705802037916	1	-1
LN_CD3p_CD4p_TCM_IFNGp_GAG	aIL10+aPD1	groupaIL10	-1.2179999999999995	0.6297679561325968	-1.9340456880018697	0.06498331239990443	0.1949499371997133	-1
LN_CD3p_CD4p_TCM_IFNGp_GAG	aIL10+aPD1	groupControl	-1.1644999999999999	0.6679697885330272	-1.7433423187558161	0.09407301767871419	0.1949499371997133	-1
LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	aIL10+aPD1	groupaIL10	-0.6981042414846004	0.7819651113104458	-0.8927562513814609	0.38085230756890054	0.7617046151378011	-1
LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	aIL10+aPD1	groupControl	-0.3285492291917213	0.8293992492883645	-0.39612916152699784	0.6955096190008897	0.7617046151378011	-1
LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp	aIL10+aPD1	groupaIL10	-0.042999999999999684	0.5827801645887539	-0.07378425453162629	0.9417935829889772	1	-1
LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp	aIL10+aPD1	groupControl	-0.35899999999999954	0.6181317094825803	-0.5807823712854139	0.5668014624367248	1	-1
LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	aIL10+aPD1	groupaIL10	396.7999999999996	158.56447239139635	2.5024521194164415	0.01954716311820248	0.05864148935460743	-1
LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	aIL10+aPD1	groupControl	33.299999999999976	168.18302052483523	0.19799858449493501	0.8447136969135088	1	-1
LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101	aIL10+aPD1	groupaIL10	-23.200000000000564	348.8021902833015	-0.06651334379855021	0.94752012340494	1	-1
LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101	aIL10+aPD1	groupControl	-19.32500000000012	369.96059106306456	-0.05223529334427386	0.958773560905087	1	-1
LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TCF1	aIL10+aPD1	groupaIL10	308.49999999999875	689.2764045972584	0.44757081185776865	0.6584766863031215	1	-1
LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TCF1	aIL10+aPD1	groupControl	29.674999999999944	731.0880297039058	0.040590187220023916	0.9679583911367212	1	-1
LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupaIL10	423.2999999999999	157.4370426891787	2.6886937963875708	0.012834860095485102	0.03850458028645531	-1
LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupControl	89.42499999999998	166.98720074321136	0.5355200853837622	0.5972183852692582	0.879227718064882	-1
LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupaIL10	-25.500000000000092	54.9074982410894	-0.46441744419011716	0.6465341606761033	1	-1
LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupControl	26.674999999999972	58.238196516394126	0.4580327275843943	0.6510491046075205	1	-1
LN_CD3p_CD4p_TEM	aIL10+aPD1	groupaIL10	-0.001499999999999984	0.024835605920302633	-0.06039715740431212	0.9523394544991005	0.9523394544991005	-1
LN_CD3p_CD4p_TEM	aIL10+aPD1	groupControl	-0.034449999999999995	0.02634213804168414	-1.3077905804565244	0.20333352256842915	0.4066670451368583	-1
LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn	aIL10+aPD1	groupaIL10	2.8999999999999972	1.8588554946525562	1.5600997540381933	0.13182693487827274	0.3954808046348182	-1
LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn	aIL10+aPD1	groupControl	3.0625000000000004	1.9716139882720451	1.5532959383616596	0.13344118869257796	0.3954808046348182	-1
LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXp	aIL10+aPD1	groupaIL10	-0.35300000000000054	1.5338273498949335	-0.2301432426695096	0.8199308023731926	0.8199308023731926	-1
LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXp	aIL10+aPD1	groupControl	-1.921999999999999	1.6268695804201487	-1.1814100055295342	0.24901477445632517	0.49802954891265033	-1
LN_CD3p_CD4p_TEM_IRF4pTCF1pTOXn	aIL10+aPD1	groupaIL10	-0.514	0.7214619169568456	-0.7124423173548398	0.48306030693970614	0.48306030693970614	-1
LN_CD3p_CD4p_TEM_IRF4pTCF1pTOXn	aIL10+aPD1	groupControl	-1.1515000000000009	0.7652259207720471	-1.5047843633397002	0.1454274118934143	0.2908548237868286	-1
LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	aIL10+aPD1	groupaIL10	-99.59999999999962	700.7275339143696	-0.1421379854215504	0.8881575034168874	1	-1
